Jour,Susceptible,Exposed,Infected,recovered
0,19963,17,20,0
1,19953,20,23,4
2,19942,24,30,4
3,19915,44,31,10
4,19904,38,43,15
5,19870,58,50,22
6,19834,72,65,29
7,19790,84,86,40
8,19738,102,109,51
9,19663,144,121,72
10,19569,181,169,81
11,19472,216,210,102
12,19329,275,269,127
13,19148,356,331,165
14,18946,424,424,206
15,18674,532,525,269
16,18361,644,649,346
17,17943,808,808,441
18,17462,941,1057,540
19,16824,1246,1271,659
20,16131,1474,1543,852
21,15265,1771,1911,1053
22,14286,2063,2328,1323
23,13129,2412,2824,1635
24,11868,2813,3289,2030
25,10588,3069,3856,2487
26,9211,3271,4513,3005
27,7890,3396,5087,3627
28,6599,3413,5664,4324
29,5420,3392,6141,5047
30,4391,3268,6453,5888
31,3534,3029,6666,6771
32,2768,2735,6846,7651
33,2199,2407,6916,8478
34,1762,2052,6807,9379
35,1403,1777,6599,10221
36,1136,1492,6262,11110
37,956,1220,5972,11852
38,811,1022,5531,12636
39,698,847,5144,13311
40,641,667,4775,13917
41,563,548,4348,14541
42,553,426,3953,15068
43,546,334,3572,15548
44,539,315,3175,15971
45,538,266,2853,16343
46,561,211,2583,16645
47,559,203,2290,16948
48,578,168,2067,17187
49,609,144,1847,17400
50,615,131,1655,17599
51,648,107,1463,17782
52,682,106,1313,17899
53,717,94,1178,18011
54,745,84,1033,18138
55,800,72,923,18205
56,841,62,814,18283
57,881,66,726,18327
58,934,55,649,18362
59,967,55,570,18408
60,1018,46,512,18424
61,1065,55,455,18425
62,1115,59,415,18411
63,1173,56,364,18407
64,1241,45,333,18381
65,1295,50,292,18363
66,1347,42,266,18345
67,1393,38,244,18325
68,1461,35,231,18273
69,1505,34,217,18244
70,1574,26,204,18196
71,1635,27,183,18155
72,1694,30,159,18117
73,1754,24,143,18079
74,1825,20,135,18020
75,1873,22,120,17985
76,1928,17,110,17945
77,1978,18,99,17905
78,2031,13,93,17863
79,2089,13,86,17812
80,2145,15,82,17758
81,2187,15,76,17722
82,2239,15,73,17673
83,2288,18,65,17629
84,2350,15,63,17572
85,2406,10,54,17530
86,2457,10,47,17486
87,2526,8,43,17423
