Jour,Susceptible,Exposed,Infected,recovered
0,19958,22,20,0
1,19947,25,26,2
2,19937,27,29,7
3,19919,35,36,10
4,19899,38,49,14
5,19866,60,51,23
6,19831,69,70,30
7,19786,81,87,46
8,19736,101,103,60
9,19665,131,130,74
10,19588,153,168,91
11,19462,222,202,114
12,19319,272,266,143
13,19133,357,328,182
14,18928,420,431,221
15,18658,529,544,269
16,18291,693,679,337
17,17885,844,853,418
18,17346,1073,1065,516
19,16659,1347,1324,670
20,15895,1614,1657,834
21,15057,1842,2061,1040
22,14020,2183,2487,1310
23,12889,2515,2972,1624
24,11586,2864,3519,2031
25,10255,3086,4148,2511
26,8860,3305,4802,3033
27,7506,3447,5392,3655
28,6247,3464,5916,4373
29,5071,3453,6351,5125
30,4025,3291,6699,5985
31,3177,2967,7023,6833
32,2538,2576,7109,7777
33,1980,2300,7028,8692
34,1552,2023,6833,9592
35,1248,1724,6550,10478
36,1027,1439,6219,11315
37,868,1185,5849,12098
38,752,953,5475,12820
39,684,757,5031,13528
40,625,643,4534,14198
41,556,572,4098,14774
42,542,462,3724,15272
43,505,377,3378,15740
44,489,310,3049,16152
45,501,232,2709,16558
46,504,213,2427,16856
47,515,163,2173,17149
48,527,152,1953,17368
49,558,136,1755,17551
50,596,116,1568,17720
51,634,104,1399,17863
52,692,101,1231,17976
53,718,99,1096,18087
54,745,104,985,18166
55,793,85,856,18266
56,843,72,771,18314
57,886,65,702,18347
58,938,51,612,18399
59,980,58,549,18413
60,1027,54,498,18421
61,1075,49,471,18405
62,1117,53,418,18412
63,1154,52,369,18425
64,1201,43,336,18420
65,1251,44,311,18394
66,1313,30,291,18366
67,1364,29,250,18357
68,1414,27,229,18330
69,1465,23,206,18306
70,1515,29,186,18270
71,1572,29,169,18230
72,1623,30,163,18184
73,1677,29,155,18139
74,1728,27,141,18104
75,1780,27,130,18063
76,1840,28,119,18013
77,1887,26,103,17984
78,1936,22,91,17951
79,1991,21,84,17904
80,2039,17,82,17862
81,2094,16,82,17808
82,2156,20,74,17750
83,2213,20,72,17695
84,2264,19,68,17649
85,2321,16,66,17597
86,2391,18,63,17528
87,2440,17,59,17484
88,2490,11,61,17438
89,2553,12,56,17379
90,2603,15,51,17331
91,2648,17,53,17282
92,2692,15,51,17242
93,2757,11,54,17178
94,2808,10,51,17131
95,2859,13,49,17079
96,2903,15,49,17033
97,2944,17,49,16990
98,2985,15,49,16951
99,3027,12,47,16914
100,3056,15,47,16882
101,3102,13,47,16838
102,3156,9,45,16790
103,3206,10,41,16743
104,3250,8,40,16702
105,3296,6,38,16660
106,3332,11,33,16624
107,3365,13,28,16594
108,3402,11,30,16557
109,3454,10,32,16504
110,3500,12,29,16459
111,3543,9,32,16416
112,3584,14,28,16374
113,3631,11,27,16331
114,3667,13,26,16294
115,3707,12,24,16257
116,3748,12,26,16214
117,3789,15,27,16169
118,3836,12,26,16126
119,3884,10,27,16079
120,3915,13,26,16046
121,3961,11,27,16001
122,4001,13,29,15957
