Jour,Susceptible,Exposed,Infected,recovered
0,19966,14,20,0
1,19955,22,21,2
2,19941,29,26,4
3,19925,34,36,5
4,19909,41,41,9
5,19885,50,50,15
6,19842,73,60,25
7,19803,78,86,33
8,19754,100,102,44
9,19680,139,121,60
10,19607,163,163,67
11,19506,208,202,84
12,19347,281,257,115
13,19181,335,333,151
14,18971,414,423,192
15,18695,538,522,245
16,18357,670,657,316
17,17971,792,816,421
18,17510,984,981,525
19,16930,1214,1218,638
20,16236,1440,1523,801
21,15418,1710,1869,1003
22,14432,2068,2264,1236
23,13294,2407,2778,1521
24,12048,2757,3289,1906
25,10826,2914,3905,2355
26,9484,3170,4488,2858
27,8104,3365,5109,3422
28,6759,3483,5657,4101
29,5489,3501,6151,4859
30,4433,3349,6518,5700
31,3514,3110,6795,6581
32,2787,2788,6950,7475
33,2172,2460,7043,8325
34,1743,2078,6892,9287
35,1404,1765,6660,10171
36,1153,1438,6333,11076
37,980,1155,5994,11871
38,819,1005,5543,12633
39,723,796,5116,13365
40,642,669,4691,13998
41,572,569,4285,14574
42,541,460,3927,15072
43,527,388,3539,15546
44,526,322,3231,15921
45,517,272,2906,16305
46,517,236,2602,16645
47,516,206,2309,16969
48,530,164,2058,17248
49,567,130,1844,17459
50,581,110,1634,17675
51,610,114,1465,17811
52,662,109,1296,17933
53,691,111,1156,18042
54,725,99,1040,18136
55,754,102,910,18234
56,811,86,800,18303
57,845,83,717,18355
58,887,79,655,18379
59,921,66,605,18408
60,968,65,532,18435
61,1025,59,476,18440
62,1073,50,435,18442
63,1126,43,409,18422
64,1175,46,371,18408
65,1221,48,328,18403
66,1281,34,314,18371
67,1329,41,269,18361
68,1401,32,241,18326
69,1458,36,212,18294
70,1501,36,198,18265
71,1555,33,176,18236
72,1600,33,165,18202
73,1651,30,146,18173
74,1700,31,127,18142
75,1754,27,115,18104
76,1815,22,107,18056
77,1873,22,103,18002
78,1935,19,101,17945
79,1997,19,82,17902
80,2053,24,72,17851
81,2112,22,70,17796
82,2172,19,73,17736
83,2239,21,59,17681
84,2297,19,51,17633
85,2344,15,46,17595
86,2397,13,41,17549
87,2434,13,39,17514
88,2491,9,32,17468
89,2545,8,30,17417
90,2598,7,28,17367
91,2653,7,28,17312
92,2705,6,29,17260
93,2757,7,25,17211
94,2801,6,18,17175
95,2842,6,16,17136
96,2889,4,16,17091
97,2943,4,16,17037
98,2981,5,14,17000
99,3032,4,14,16950
100,3080,5,12,16903
101,3126,2,14,16858
102,3164,2,14,16820
103,3219,4,10,16767
104,3270,2,9,16719
105,3329,1,10,16660
106,3377,3,9,16611
107,3422,3,8,16567
108,3467,2,8,16523
109,3508,4,7,16481
110,3569,5,7,16419
111,3618,3,9,16370
112,3660,5,8,16327
113,3699,4,8,16289
114,3742,6,7,16245
115,3784,3,9,16204
116,3834,3,8,16155
117,3882,4,9,16105
118,3925,4,10,16061
119,3972,2,9,16017
120,4013,2,9,15976
121,4069,2,9,15920
122,4112,3,8,15877
123,4153,6,6,15835
124,4193,6,5,15796
125,4253,2,9,15736
126,4291,3,7,15699
127,4345,3,8,15644
128,4386,1,9,15604
129,4444,3,7,15546
130,4481,2,8,15509
131,4526,1,8,15465
132,4570,2,7,15421
133,4608,4,6,15382
134,4647,5,8,15340
135,4699,1,9,15291
136,4725,5,7,15263
137,4771,6,8,15215
138,4826,4,10,15160
139,4863,5,10,15122
140,4905,3,11,15081
141,4958,2,12,15028
142,5000,2,12,14986
143,5051,4,12,14933
144,5097,3,10,14890
145,5135,4,9,14852
146,5177,6,7,14810
147,5214,6,9,14771
148,5243,4,9,14744
149,5297,4,10,14689
150,5346,3,9,14642
151,5384,7,10,14599
152,5411,4,15,14570
153,5442,5,16,14537
154,5474,9,18,14499
155,5503,8,16,14473
156,5542,12,19,14427
157,5584,11,22,14383
158,5609,12,27,14352
159,5640,14,30,14316
160,5671,11,36,14282
161,5706,14,33,14247
162,5743,14,34,14209
163,5772,16,34,14178
164,5804,17,36,14143
165,5851,18,34,14097
166,5885,19,35,14061
167,5913,22,36,14029
168,5952,19,40,13989
169,5973,29,39,13959
170,5997,25,44,13934
171,6029,25,49,13897
172,6055,31,57,13857
173,6081,35,59,13825
174,6113,36,66,13785
175,6133,35,79,13753
176,6168,26,88,13718
177,6196,32,84,13688
178,6220,42,75,13663
179,6238,40,86,13636
180,6254,39,92,13615
181,6269,47,97,13587
182,6280,52,103,13565
183,6298,60,102,13540
184,6320,58,112,13510
185,6337,59,123,13481
186,6352,58,140,13450
187,6354,75,142,13429
188,6367,82,141,13410
189,6378,86,148,13388
190,6396,67,173,13364
191,6396,79,175,13350
192,6405,83,187,13325
193,6408,95,183,13314
194,6398,103,191,13308
195,6379,120,202,13299
196,6376,126,220,13278
197,6367,126,239,13268
198,6366,123,252,13259
199,6351,137,249,13263
200,6361,132,264,13243
201,6344,134,279,13243
202,6308,167,282,13243
203,6285,157,302,13256
204,6257,166,320,13257
205,6240,166,342,13252
206,6227,176,340,13257
207,6186,198,355,13261
208,6157,207,376,13260
209,6127,212,385,13276
210,6095,205,420,13280
211,6066,203,455,13276
212,6035,199,470,13296
213,5981,229,481,13309
214,5926,244,496,13334
215,5857,259,501,13383
216,5810,280,502,13408
217,5762,280,523,13435
218,5690,305,523,13482
219,5656,271,565,13508
220,5589,290,577,13544
221,5543,288,594,13575
222,5474,309,597,13620
223,5407,322,604,13667
224,5342,318,631,13709
225,5275,307,676,13742
226,5200,304,716,13780
227,5113,321,739,13827
228,5034,320,754,13892
229,4952,339,748,13961
230,4865,334,790,14011
231,4793,345,797,14065
232,4715,354,800,14131
233,4615,359,813,14213
234,4552,350,833,14265
235,4473,361,812,14354
236,4390,349,853,14408
237,4313,352,856,14479
238,4250,355,864,14531
239,4212,329,861,14598
240,4159,340,851,14650
241,4089,359,844,14708
242,4042,346,840,14772
243,3985,333,844,14838
244,3947,304,865,14884
245,3890,320,844,14946
246,3848,314,862,14976
247,3795,309,831,15065
248,3741,332,794,15133
249,3701,316,798,15185
250,3683,298,798,15221
251,3683,277,789,15251
252,3657,275,777,15291
