Jour,Susceptible,Exposed,Infected,recovered
0,19969,11,20,0
1,19953,22,20,5
2,19935,29,28,8
3,19914,38,39,9
4,19878,60,48,14
5,19853,61,69,17
6,19796,92,84,28
7,19744,108,107,41
8,19674,132,138,56
9,19558,192,182,68
10,19426,234,250,90
11,19276,287,312,125
12,19082,366,382,170
13,18808,491,477,224
14,18468,602,631,299
15,18069,765,784,382
16,17576,986,946,492
17,16996,1189,1192,623
18,16312,1405,1503,780
19,15498,1676,1847,979
20,14558,1993,2224,1225
21,13459,2310,2695,1536
22,12224,2661,3209,1906
23,10957,2898,3828,2317
24,9545,3276,4356,2823
25,8162,3411,5063,3364
26,6813,3510,5675,4002
27,5603,3448,6219,4730
28,4540,3299,6628,5533
29,3597,3110,6888,6405
30,2878,2774,7045,7303
31,2264,2469,6979,8288
32,1817,2108,6890,9185
33,1474,1777,6722,10027
34,1218,1491,6380,10911
35,1000,1227,6069,11704
36,845,1013,5619,12523
37,716,826,5168,13290
38,647,668,4741,13944
39,583,579,4285,14553
40,542,470,3905,15083
41,528,368,3533,15571
42,505,300,3175,16020
43,518,254,2865,16363
44,515,233,2590,16662
45,520,206,2305,16969
46,526,181,2069,17224
47,567,130,1854,17449
48,586,122,1647,17645
49,590,121,1453,17836
50,636,106,1299,17959
51,671,104,1137,18088
52,718,82,1021,18179
53,762,80,876,18282
54,794,85,789,18332
55,864,64,714,18358
56,913,66,636,18385
57,943,48,589,18420
58,986,55,517,18442
59,1036,57,461,18446
60,1089,61,404,18446
61,1128,50,359,18463
62,1188,41,324,18447
63,1254,41,286,18419
64,1305,43,254,18398
65,1380,37,227,18356
66,1432,36,201,18331
67,1498,42,172,18288
68,1550,33,153,18264
69,1604,39,130,18227
70,1658,28,128,18186
71,1722,24,116,18138
72,1778,20,107,18095
73,1837,23,101,18039
74,1898,24,93,17985
75,1944,21,83,17952
76,1994,18,80,17908
77,2050,18,67,17865
78,2107,14,60,17819
79,2179,12,58,17751
80,2225,17,49,17709
81,2270,14,44,17672
82,2332,14,37,17617
83,2382,13,37,17568
84,2438,10,37,17515
85,2480,14,34,17472
86,2541,8,37,17414
87,2591,9,33,17367
88,2654,7,32,17307
89,2706,10,27,17257
90,2756,9,25,17210
91,2815,6,25,17154
92,2872,7,23,17098
93,2937,8,20,17035
94,2991,11,20,16978
95,3051,9,22,16918
96,3109,6,24,16861
97,3157,7,20,16816
98,3200,7,21,16772
99,3253,5,19,16723
100,3313,4,19,16664
101,3354,4,17,16625
102,3399,9,16,16576
103,3455,10,16,16519
104,3498,7,19,16476
105,3549,7,19,16425
106,3593,5,20,16382
107,3637,5,16,16342
108,3693,5,12,16290
109,3756,5,12,16227
110,3807,7,10,16176
111,3858,4,12,16126
112,3901,4,12,16083
113,3942,4,12,16042
114,3997,5,11,15987
115,4046,6,11,15937
116,4084,3,14,15899
117,4126,2,13,15859
118,4178,3,12,15807
119,4225,4,12,15759
120,4267,2,13,15718
121,4295,4,13,15688
122,4332,4,14,15650
123,4367,8,14,15611
124,4402,10,13,15575
125,4440,11,13,15536
126,4481,9,15,15495
127,4520,6,18,15456
128,4571,6,16,15407
129,4615,7,13,15365
130,4668,6,13,15313
131,4697,10,12,15281
132,4728,7,17,15248
133,4770,4,20,15206
134,4814,5,19,15162
135,4841,5,20,15134
136,4887,7,18,15088
137,4934,5,19,15042
138,4981,6,16,14997
139,5027,5,17,14951
140,5061,3,15,14921
141,5099,7,10,14884
142,5130,5,11,14854
143,5164,2,13,14821
144,5198,2,11,14789
145,5236,1,10,14753
146,5265,1,9,14725
147,5303,3,7,14687
148,5347,2,7,14644
149,5393,1,5,14601
150,5429,5,5,14561
151,5468,4,7,14521
152,5509,3,7,14481
153,5563,3,9,14425
154,5601,6,7,14386
155,5640,3,8,14349
156,5682,4,8,14306
157,5719,6,7,14268
158,5751,5,9,14235
159,5789,8,7,14196
160,5826,7,9,14158
161,5859,8,10,14123
162,5894,12,11,14083
163,5932,7,16,14045
164,5963,8,15,14014
165,6000,10,14,13976
166,6033,9,15,13943
167,6062,8,15,13915
168,6100,5,16,13879
169,6132,11,16,13841
170,6172,6,18,13804
171,6215,5,19,13761
172,6251,9,13,13727
173,6287,8,18,13687
174,6333,9,17,13641
175,6364,10,18,13608
176,6396,14,19,13571
177,6419,12,16,13553
178,6445,11,16,13528
179,6483,8,19,13490
180,6516,8,18,13458
181,6544,16,21,13419
182,6572,18,22,13388
183,6604,12,29,13355
184,6633,18,29,13320
185,6667,22,32,13279
186,6717,15,39,13229
187,6744,24,39,13193
188,6771,22,50,13157
189,6806,24,55,13115
190,6831,27,55,13087
191,6857,29,59,13055
192,6879,34,61,13026
193,6913,34,67,12986
194,6941,51,67,12941
195,6959,43,80,12918
196,6980,49,89,12882
197,6977,63,85,12875
198,6994,61,102,12843
199,6987,74,101,12838
200,6994,67,115,12824
201,7007,77,118,12798
202,7005,84,134,12777
203,7009,91,140,12760
204,7005,95,154,12746
205,7016,99,163,12722
206,7009,97,184,12710
207,7001,100,196,12703
208,7013,93,212,12682
209,7015,107,217,12661
210,6999,129,216,12656
211,7002,113,239,12646
212,6993,113,247,12647
213,6941,153,248,12658
214,6919,159,278,12644
215,6894,171,304,12631
