Jour,Susceptible,Exposed,Infected,recovered
0,19960,20,20,0
1,19944,23,30,3
2,19914,41,39,6
3,19891,45,56,8
4,19861,64,56,19
5,19833,62,81,24
6,19790,81,91,38
7,19738,99,110,53
8,19664,133,136,67
9,19568,175,176,81
10,19451,240,206,103
11,19302,300,259,139
12,19148,332,359,161
13,18898,441,451,210
14,18576,600,568,256
15,18203,744,725,328
16,17741,921,918,420
17,17200,1133,1105,562
18,16574,1320,1419,687
19,15722,1675,1745,858
20,14784,1997,2136,1083
21,13682,2348,2634,1336
22,12483,2668,3157,1692
23,11184,2932,3755,2129
24,9823,3135,4447,2595
25,8413,3419,4986,3182
26,7064,3541,5589,3806
27,5832,3497,6161,4510
28,4751,3347,6628,5274
29,3787,3181,6853,6179
30,2987,2889,7024,7100
31,2399,2493,7108,8000
32,1867,2218,6963,8952
33,1501,1832,6792,9875
34,1236,1566,6418,10780
35,1016,1280,6065,11639
36,880,1013,5704,12403
37,772,831,5247,13150
38,712,673,4863,13752
39,643,561,4411,14385
40,585,448,4028,14939
41,562,367,3673,15398
42,558,302,3322,15818
43,529,273,2999,16199
44,545,203,2710,16542
45,542,185,2407,16866
46,551,150,2164,17135
47,586,128,1925,17361
48,616,121,1720,17543
49,654,114,1543,17689
50,685,109,1367,17839
51,722,102,1200,17976
52,746,87,1095,18072
53,774,77,975,18174
54,824,69,871,18236
55,865,79,787,18269
56,905,72,702,18321
57,952,63,608,18377
58,994,55,528,18423
59,1052,47,456,18445
60,1102,53,403,18442
61,1144,43,366,18447
62,1183,47,325,18445
63,1236,34,299,18431
64,1289,30,274,18407
65,1323,25,243,18409
66,1391,18,231,18360
67,1434,32,190,18344
68,1498,33,176,18293
69,1564,31,159,18246
70,1610,28,140,18222
71,1659,33,129,18179
72,1699,29,118,18154
73,1747,29,112,18112
74,1787,28,108,18077
75,1829,23,99,18049
76,1873,23,88,18016
77,1946,23,84,17947
78,2001,18,85,17896
79,2055,19,78,17848
80,2103,22,67,17808
81,2153,18,62,17767
82,2214,19,60,17707
83,2281,8,64,17647
84,2335,12,61,17592
85,2380,11,51,17558
86,2441,12,44,17503
87,2509,9,44,17438
88,2555,9,40,17396
89,2607,10,35,17348
90,2649,12,36,17303
91,2693,12,33,17262
92,2749,12,30,17209
93,2795,9,30,17166
94,2843,5,30,17122
95,2891,7,25,17077
96,2940,7,21,17032
97,2993,6,19,16982
98,3037,8,19,16936
99,3084,6,20,16890
100,3132,8,17,16843
101,3185,6,18,16791
102,3238,6,21,16735
103,3287,6,21,16686
104,3328,7,19,16646
105,3382,6,18,16594
106,3425,5,18,16552
107,3482,5,17,16496
108,3534,7,14,16445
109,3584,9,15,16392
110,3627,6,16,16351
111,3675,8,15,16302
112,3722,6,15,16257
113,3755,3,16,16226
114,3804,1,14,16181
115,3856,5,12,16127
116,3901,2,12,16085
117,3951,2,11,16036
118,3987,2,9,16002
119,4030,1,9,15960
120,4082,1,9,15908
121,4123,3,8,15866
122,4164,1,8,15827
123,4217,2,7,15774
124,4262,3,6,15729
125,4314,5,6,15675
126,4355,7,8,15630
127,4380,6,11,15603
128,4426,8,9,15557
129,4470,7,8,15515
130,4515,6,10,15469
131,4559,5,9,15427
132,4607,7,9,15377
133,4650,5,11,15334
134,4688,5,12,15295
135,4730,5,12,15253
136,4761,6,13,15220
137,4805,2,13,15180
138,4847,3,11,15139
139,4887,2,10,15101
140,4933,2,10,15055
141,4976,2,10,15012
142,5030,2,7,14961
143,5073,4,7,14916
144,5110,6,8,14876
145,5157,5,9,14829
146,5190,4,11,14795
147,5216,1,12,14771
148,5254,3,10,14733
149,5294,2,11,14693
150,5323,5,10,14662
151,5361,4,11,14624
152,5401,6,12,14581
153,5452,7,9,14532
154,5488,7,10,14495
155,5526,11,10,14453
156,5567,6,16,14411
157,5617,9,13,14361
158,5641,12,15,14332
159,5667,12,19,14302
160,5705,17,18,14260
161,5740,16,20,14224
162,5787,9,21,14183
163,5827,11,18,14144
164,5859,12,19,14110
165,5890,13,22,14075
166,5927,15,23,14035
167,5952,23,23,14002
168,5977,18,26,13979
169,6009,18,25,13948
170,6035,19,27,13919
171,6069,18,31,13882
172,6107,20,30,13843
173,6138,21,36,13805
174,6177,20,36,13767
175,6200,23,41,13736
176,6244,21,44,13691
177,6265,24,50,13661
178,6287,30,47,13636
179,6326,25,49,13600
180,6364,27,52,13557
181,6395,27,53,13525
182,6418,36,54,13492
183,6462,36,61,13441
184,6474,45,58,13423
185,6498,43,65,13394
186,6518,42,73,13367
187,6540,44,77,13339
188,6554,42,88,13316
189,6552,49,89,13310
190,6581,51,91,13277
191,6590,60,95,13255
192,6601,56,103,13240
193,6617,61,112,13210
194,6644,63,124,13169
195,6670,61,133,13136
196,6701,56,144,13099
197,6704,75,147,13074
198,6716,73,153,13058
199,6723,78,154,13045
200,6724,93,156,13027
201,6722,90,174,13014
202,6713,109,182,12996
203,6703,117,200,12980
204,6698,117,220,12965
205,6673,132,222,12973
206,6659,131,252,12958
207,6650,149,260,12941
208,6630,156,286,12928
209,6603,165,298,12934
210,6585,159,315,12941
211,6549,178,332,12941
212,6506,176,350,12968
213,6446,195,363,12996
214,6398,196,386,13020
215,6340,226,395,13039
216,6311,223,419,13047
217,6284,226,433,13057
218,6245,220,454,13081
219,6197,232,481,13090
220,6121,265,478,13136
221,6055,278,511,13156
222,5984,288,547,13181
223,5901,296,593,13210
224,5829,318,623,13230
225,5726,343,657,13274
226,5624,366,695,13315
227,5530,360,728,13382
228,5441,361,756,13442
229,5346,371,780,13503
230,5258,356,819,13567
231,5149,392,813,13646
232,5066,369,858,13707
233,4958,403,860,13779
234,4876,392,872,13860
235,4780,410,897,13913
236,4707,403,922,13968
237,4630,398,910,14062
238,4507,425,930,14138
239,4430,405,957,14208
240,4334,403,994,14269
241,4259,392,1006,14343
242,4172,399,1024,14405
243,4070,415,1019,14496
244,3984,389,1021,14606
245,3894,383,1017,14706
246,3817,386,1018,14779
247,3765,352,1011,14872
248,3710,344,996,14950
249,3649,342,993,15016
250,3600,328,989,15083
251,3533,348,947,15172
252,3486,311,970,15233
253,3419,322,954,15305
254,3383,329,944,15344
255,3345,327,910,15418
256,3336,290,920,15454
257,3304,289,914,15493
258,3263,311,892,15534
259,3239,301,886,15574
260,3205,302,867,15626
261,3192,285,855,15668
262,3161,288,856,15695
263,3142,267,839,15752
264,3115,264,819,15802
265,3101,257,799,15843
266,3092,241,787,15880
267,3069,250,756,15925
268,3065,239,739,15957
269,3065,227,717,15991
270,3075,205,707,16013
271,3055,221,681,16043
272,3038,223,661,16078
273,3047,212,641,16100
274,3048,206,626,16120
275,3060,200,599,16141
276,3077,179,578,16166
277,3085,190,543,16182
278,3109,169,526,16196
279,3139,175,500,16186
280,3164,157,495,16184
281,3185,156,490,16169
282,3201,161,476,16162
283,3239,162,443,16156
284,3273,150,454,16123
285,3310,147,441,16102
286,3352,138,428,16082
287,3387,150,407,16056
288,3423,130,405,16042
289,3455,131,391,16023
290,3502,124,373,16001
291,3532,136,363,15969
292,3565,145,357,15933
293,3609,134,341,15916
294,3644,131,338,15887
295,3680,148,327,15845
296,3699,128,350,15823
297,3729,137,333,15801
298,3784,129,340,15747
299,3816,126,346,15712
300,3863,109,341,15687
301,3893,118,326,15663
302,3919,121,334,15626
