Jour,Susceptible,Exposed,Infected,recovered
0,19963,17,20,0
1,19949,22,28,1
2,19930,33,32,5
3,19911,39,41,9
4,19885,50,55,10
5,19855,61,69,15
6,19804,81,90,25
7,19735,123,107,35
8,19642,171,139,48
9,19533,213,193,61
10,19422,245,243,90
11,19249,316,312,123
12,19045,392,394,169
13,18770,501,503,226
14,18441,624,629,306
15,18038,778,783,401
16,17579,944,959,518
17,17049,1099,1205,647
18,16310,1438,1443,809
19,15472,1728,1798,1002
20,14586,1938,2268,1208
21,13498,2360,2632,1510
22,12283,2714,3145,1858
23,10981,2960,3778,2281
24,9666,3084,4498,2752
25,8252,3391,4989,3368
26,6954,3460,5526,4060
27,5731,3466,5998,4805
28,4698,3259,6445,5598
29,3795,3083,6617,6505
30,3048,2807,6803,7342
31,2404,2510,6844,8242
32,1911,2157,6772,9160
33,1560,1804,6602,10034
34,1277,1567,6244,10912
35,1036,1351,5874,11739
36,878,1092,5583,12447
37,781,909,5131,13179
38,679,759,4727,13835
39,638,606,4323,14433
40,595,515,3927,14963
41,586,411,3564,15439
42,572,353,3201,15874
43,584,267,2923,16226
44,577,245,2594,16584
45,602,206,2329,16863
46,620,186,2072,17122
47,641,164,1829,17366
48,650,152,1646,17552
49,668,128,1444,17760
50,710,120,1266,17904
51,740,114,1140,18006
52,778,111,997,18114
53,825,106,875,18194
54,864,88,785,18263
55,904,80,701,18315
56,948,72,643,18337
57,1009,60,577,18354
58,1045,59,523,18373
59,1110,56,466,18368
60,1161,55,422,18362
61,1233,40,380,18347
62,1272,40,348,18340
63,1318,37,318,18327
64,1356,45,287,18312
65,1409,39,266,18286
66,1466,36,250,18248
67,1526,36,221,18217
68,1575,33,198,18194
69,1623,26,184,18167
70,1677,38,161,18124
71,1735,34,143,18088
72,1794,23,143,18040
73,1851,22,132,17995
74,1906,26,118,17950
75,1977,24,109,17890
76,2020,21,106,17853
77,2065,20,93,17822
78,2122,19,88,17771
79,2166,22,85,17727
80,2213,17,77,17693
81,2260,22,62,17656
82,2315,17,62,17606
83,2368,15,60,17557
84,2434,12,61,17493
85,2488,15,55,17442
86,2538,13,53,17396
87,2598,9,50,17343
88,2650,12,44,17294
89,2692,14,47,17247
90,2745,13,50,17192
91,2799,13,47,17141
92,2847,14,47,17092
93,2898,16,45,17041
94,2952,20,37,16991
95,3007,17,34,16942
96,3048,13,32,16907
97,3090,15,33,16862
98,3142,15,31,16812
99,3196,17,29,16758
100,3243,18,29,16710
101,3286,11,33,16670
102,3350,14,30,16606
103,3405,12,34,16549
104,3441,14,31,16514
105,3486,11,27,16476
106,3529,10,25,16436
107,3591,9,26,16374
108,3618,14,23,16345
109,3667,14,24,16295
110,3704,11,27,16258
111,3737,11,28,16224
112,3777,13,31,16179
113,3806,13,30,16151
114,3843,16,23,16118
115,3894,9,30,16067
116,3932,12,23,16033
117,3971,14,23,15992
118,4021,8,29,15942
119,4076,4,30,15890
120,4114,11,28,15847
121,4157,6,32,15805
122,4209,5,29,15757
123,4242,8,28,15722
124,4279,6,31,15684
125,4319,9,26,15646
126,4362,11,24,15603
127,4402,13,23,15562
128,4446,17,23,15514
129,4491,10,27,15472
130,4525,12,24,15439
131,4577,10,24,15389
132,4612,9,29,15350
133,4663,11,26,15300
134,4712,9,26,15253
135,4749,13,21,15217
136,4791,11,23,15175
137,4826,10,23,15141
138,4851,11,26,15112
139,4895,11,29,15065
140,4924,12,27,15037
141,4978,12,30,14980
142,5013,13,32,14942
143,5046,9,31,14914
144,5081,10,32,14877
145,5117,12,32,14839
146,5145,11,34,14810
147,5177,16,34,14773
148,5220,16,34,14730
149,5266,16,31,14687
150,5308,13,31,14648
151,5339,16,31,14614
152,5378,12,35,14575
153,5422,13,33,14532
154,5453,22,34,14491
155,5500,17,37,14446
156,5533,26,37,14404
157,5561,24,46,14369
158,5592,22,49,14337
159,5626,22,52,14300
160,5666,20,55,14259
161,5700,25,54,14221
162,5713,27,59,14201
163,5744,26,70,14160
164,5792,27,74,14107
165,5813,32,76,14079
166,5842,34,76,14048
167,5865,40,74,14021
168,5886,45,83,13986
169,5914,48,82,13956
170,5932,51,85,13932
171,5950,55,92,13903
172,5971,45,103,13881
173,5989,49,107,13855
174,6006,54,108,13832
175,6037,54,113,13796
176,6055,53,110,13782
177,6061,63,114,13762
178,6071,72,129,13728
