Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19962,18,20,0
2,19949,23,24,4
3,19930,32,31,7
4,19910,41,39,10
5,19883,49,52,16
6,19849,63,66,22
7,19807,82,85,26
8,19748,107,100,45
9,19689,134,119,58
10,19601,175,149,75
11,19510,207,193,90
12,19383,243,259,115
13,19222,311,317,150
14,19031,387,387,195
15,18768,511,485,236
16,18460,627,616,297
17,18081,757,785,377
18,17596,957,958,489
19,16998,1142,1242,618
20,16239,1475,1490,796
21,15394,1754,1849,1003
22,14424,2062,2264,1250
23,13293,2388,2768,1551
24,12054,2711,3326,1909
25,10758,2995,3860,2387
26,9365,3278,4450,2907
27,8114,3327,5044,3515
28,6802,3471,5519,4208
29,5603,3462,5979,4956
30,4566,3319,6338,5777
31,3680,3087,6630,6603
32,2969,2750,6791,7490
33,2364,2414,6857,8365
34,1869,2145,6720,9266
35,1495,1841,6602,10062
36,1230,1494,6377,10899
37,1019,1250,6020,11711
38,878,1016,5633,12473
39,755,851,5158,13236
40,668,689,4740,13903
41,613,583,4270,14534
42,582,468,3910,15040
43,572,386,3566,15476
44,550,328,3211,15911
45,566,258,2904,16272
46,567,238,2591,16604
47,584,195,2311,16910
48,612,163,2058,17167
49,650,151,1823,17376
50,659,150,1639,17552
51,686,126,1461,17727
52,719,112,1292,17877
53,740,112,1144,18004
54,788,102,1034,18076
55,805,105,930,18160
56,848,83,841,18228
57,906,79,769,18246
58,938,82,675,18305
59,990,78,596,18336
60,1053,67,526,18354
61,1094,73,471,18362
62,1121,71,427,18381
63,1172,58,400,18370
64,1225,56,365,18354
65,1264,61,314,18361
66,1323,50,285,18342
67,1382,44,256,18318
68,1432,33,236,18299
69,1473,35,206,18286
70,1532,28,186,18254
71,1578,23,172,18227
72,1650,18,154,18178
73,1709,16,139,18136
74,1765,12,127,18096
75,1835,15,107,18043
76,1899,19,97,17985
77,1959,15,93,17933
78,2012,15,91,17882
79,2060,17,81,17842
80,2109,20,67,17804
81,2156,20,60,17764
82,2207,11,62,17720
83,2264,12,54,17670
84,2314,7,49,17630
85,2370,9,46,17575
86,2428,8,42,17522
87,2478,11,37,17474
88,2532,9,37,17422
89,2577,12,30,17381
90,2642,14,31,17313
91,2689,13,33,17265
92,2747,14,32,17207
93,2797,14,35,17154
94,2850,13,34,17103
95,2905,8,35,17052
96,2959,7,31,17003
97,3023,6,30,16941
98,3073,9,24,16894
99,3104,7,28,16861
100,3148,6,30,16816
101,3201,8,29,16762
102,3252,6,31,16711
103,3295,4,34,16667
104,3334,6,33,16627
105,3365,10,31,16594
106,3402,18,29,16551
107,3447,11,32,16510
108,3503,14,29,16454
109,3551,10,31,16408
110,3593,13,33,16361
111,3631,13,36,16320
112,3663,18,31,16288
113,3704,19,35,16242
114,3733,19,37,16211
115,3772,15,43,16170
116,3823,16,41,16120
117,3862,19,33,16086
118,3910,19,32,16039
119,3953,14,37,15996
120,3995,15,36,15954
121,4039,8,40,15913
122,4085,10,38,15867
