Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19970,10,20,0
2,19955,22,20,3
3,19941,25,27,7
4,19920,37,29,14
5,19906,40,35,19
6,19884,48,45,23
7,19851,60,63,26
8,19809,68,86,37
9,19741,105,109,45
10,19672,128,143,57
11,19583,169,171,77
12,19468,222,208,102
13,19330,279,260,131
14,19172,336,330,162
15,18963,399,437,201
16,18649,563,529,259
17,18322,668,687,323
18,17877,873,823,427
19,17361,1064,1039,536
20,16763,1254,1309,674
21,15974,1526,1638,862
22,15132,1757,2034,1077
23,14115,2119,2417,1349
24,12914,2480,2939,1667
25,11653,2818,3467,2062
26,10366,3040,4074,2520
27,9022,3264,4657,3057
28,7699,3406,5250,3645
29,6375,3493,5804,4328
30,5262,3380,6289,5069
31,4202,3257,6663,5878
32,3336,3042,6832,6790
33,2666,2717,6964,7653
34,2145,2308,6959,8588
35,1727,1974,6750,9549
36,1388,1689,6535,10388
37,1137,1408,6191,11264
38,925,1174,5878,12023
39,760,1011,5489,12740
40,681,797,5077,13445
41,592,662,4694,14052
42,548,534,4283,14635
43,515,426,3876,15183
44,514,355,3535,15596
45,495,292,3164,16049
46,495,237,2864,16404
47,500,210,2513,16777
48,522,182,2222,17074
49,551,153,1987,17309
50,574,141,1765,17520
51,610,124,1548,17718
52,633,120,1374,17873
53,675,101,1238,17986
54,707,96,1111,18086
55,748,82,987,18183
56,799,84,870,18247
57,836,77,782,18305
58,873,62,717,18348
59,904,50,647,18399
60,930,51,569,18450
61,979,52,501,18468
62,1024,40,457,18479
63,1079,42,394,18485
64,1116,51,332,18501
65,1170,42,303,18485
66,1214,34,266,18486
67,1266,38,229,18467
68,1333,36,203,18428
69,1398,26,189,18387
70,1455,24,175,18346
71,1510,22,155,18313
72,1583,16,139,18262
73,1660,14,115,18211
74,1722,18,104,18156
75,1778,14,97,18111
76,1840,12,87,18061
77,1908,14,79,17999
78,1976,9,73,17942
79,2043,13,69,17875
80,2106,12,62,17820
81,2168,9,54,17769
82,2213,6,51,17730
83,2267,9,44,17680
84,2332,7,42,17619
85,2393,6,43,17558
86,2451,6,39,17504
87,2498,11,37,17454
88,2525,9,35,17431
89,2584,9,32,17375
90,2630,10,28,17332
