Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19965,15,20,0
2,19951,23,22,4
3,19932,28,32,8
4,19915,30,43,12
5,19887,45,50,18
6,19848,65,59,28
7,19809,76,79,36
8,19756,98,98,48
9,19692,125,122,61
10,19608,160,154,78
11,19514,199,190,97
12,19378,262,241,119
13,19221,327,303,149
14,19019,405,393,183
15,18707,563,495,235
16,18357,685,659,299
17,17963,825,834,378
18,17434,1024,1056,486
19,16789,1257,1334,620
20,16016,1547,1650,787
21,15164,1770,2058,1008
22,14077,2168,2480,1275
23,12890,2559,2940,1611
24,11648,2834,3531,1987
25,10281,3178,4082,2459
26,8940,3392,4696,2972
27,7605,3529,5270,3596
28,6357,3592,5744,4307
29,5219,3487,6248,5046
30,4153,3352,6603,5892
31,3277,3066,6876,6781
32,2595,2723,7059,7623
33,2071,2355,7032,8542
34,1681,2033,6810,9476
35,1372,1684,6591,10353
36,1146,1402,6244,11208
37,944,1191,5854,12011
38,823,961,5501,12715
39,703,813,5067,13417
40,628,644,4634,14094
41,605,533,4224,14638
42,567,452,3806,15175
43,556,363,3414,15667
44,554,300,3081,16065
45,551,262,2752,16435
46,552,229,2445,16774
47,580,201,2169,17050
48,603,173,1907,17317
49,623,158,1687,17532
50,652,133,1507,17708
51,684,109,1338,17869
52,713,106,1153,18028
53,742,103,1040,18115
54,793,86,911,18210
55,828,86,826,18260
56,868,74,730,18328
57,913,71,659,18357
58,948,61,588,18403
59,984,60,517,18439
60,1037,58,461,18444
61,1091,50,412,18447
62,1148,47,382,18423
63,1194,49,340,18417
64,1246,36,312,18406
65,1304,39,273,18384
66,1350,37,248,18365
67,1401,35,224,18340
68,1454,32,203,18311
69,1510,31,180,18279
70,1555,35,163,18247
71,1608,28,164,18200
72,1670,27,147,18156
73,1722,29,128,18121
74,1779,26,118,18077
75,1825,32,114,18029
76,1879,24,117,17980
77,1944,21,108,17927
78,1988,21,102,17889
79,2034,21,93,17852
80,2095,19,94,17792
81,2144,17,91,17748
82,2188,22,74,17716
83,2229,15,72,17684
84,2287,14,65,17634
85,2356,10,63,17571
86,2396,17,58,17529
87,2451,15,55,17479
88,2511,12,53,17424
89,2563,11,47,17379
90,2615,12,45,17328
91,2667,7,46,17280
92,2722,10,41,17227
93,2773,12,37,17178
94,2820,13,39,17128
95,2864,11,39,17086
96,2921,7,40,17032
97,2973,6,34,16987
98,3016,9,31,16944
99,3070,10,34,16886
100,3117,13,29,16841
101,3177,10,28,16785
102,3232,9,25,16734
103,3291,8,26,16675
104,3340,9,25,16626
105,3385,10,27,16578
106,3424,17,27,16532
107,3476,17,23,16484
108,3520,15,27,16438
109,3561,13,31,16395
110,3602,16,29,16353
111,3644,12,31,16313
112,3706,12,26,16256
113,3748,13,20,16219
114,3790,9,22,16179
115,3837,5,27,16131
116,3870,8,24,16098
117,3909,7,25,16059
118,3959,6,26,16009
119,4013,7,26,15954
120,4059,5,23,15913
121,4113,5,22,15860
122,4162,8,21,15809
123,4199,7,24,15770
124,4245,8,25,15722
125,4279,10,25,15686
126,4318,16,21,15645
127,4361,13,25,15601
128,4415,15,21,15549
129,4460,13,21,15506
130,4499,11,23,15467
131,4553,10,22,15415
132,4589,14,21,15376
133,4643,12,22,15323
134,4673,17,19,15291
135,4724,14,21,15241
136,4767,12,25,15196
137,4810,18,27,15145
138,4852,14,29,15105
139,4891,15,26,15068
140,4929,14,27,15030
141,4961,15,26,14998
142,4995,13,30,14962
143,5035,10,31,14924
144,5068,19,28,14885
145,5095,16,31,14858
146,5133,12,34,14821
147,5185,13,33,14769
148,5216,11,31,14742
149,5262,10,30,14698
150,5297,7,33,14663
151,5348,5,29,14618
152,5380,11,24,14585
153,5420,7,27,14546
154,5453,8,25,14514
155,5491,10,27,14472
156,5524,13,25,14438
157,5563,15,25,14397
158,5606,18,26,14350
159,5634,19,27,14320
160,5659,17,33,14291
161,5693,19,36,14252
162,5732,20,39,14209
163,5761,24,37,14178
164,5798,23,40,14139
165,5819,29,41,14111
166,5852,24,46,14078
167,5883,27,49,14041
168,5908,35,46,14011
169,5940,45,44,13971
170,5977,35,59,13929
171,5998,37,59,13906
172,6037,35,69,13859
173,6059,37,72,13832
174,6095,35,73,13797
175,6133,36,74,13757
176,6166,45,74,13715
177,6186,45,82,13687
178,6207,44,91,13658
179,6224,58,91,13627
180,6229,65,99,13607
181,6252,67,101,13580
182,6274,69,117,13540
183,6283,65,127,13525
184,6282,83,128,13507
185,6292,82,149,13477
186,6305,74,164,13457
187,6327,78,169,13426
188,6340,92,163,13405
189,6343,94,177,13386
190,6352,104,188,13356
191,6350,117,195,13338
192,6333,125,214,13328
193,6319,134,229,13318
194,6317,132,236,13315
195,6311,136,243,13310
196,6304,129,254,13313
197,6296,148,271,13285
198,6285,157,286,13272
199,6272,169,304,13255
200,6255,171,315,13259
201,6231,179,333,13257
202,6174,207,347,13272
203,6157,186,397,13260
204,6124,218,396,13262
205,6065,239,413,13283
206,6006,261,432,13301
207,5950,255,466,13329
208,5893,258,506,13343
209,5830,268,524,13378
210,5787,270,527,13416
211,5716,282,569,13433
212,5678,268,591,13463
213,5603,264,633,13500
214,5543,283,623,13551
215,5459,315,629,13597
216,5407,301,660,13632
217,5337,315,661,13687
218,5258,333,685,13724
219,5172,343,710,13775
220,5073,354,737,13836
221,4978,371,763,13888
222,4900,379,787,13934
223,4814,383,800,14003
224,4731,379,822,14068
225,4657,376,840,14127
226,4581,384,830,14205
227,4501,392,850,14257
228,4405,400,882,14313
229,4338,387,888,14387
230,4256,399,892,14453
231,4169,385,932,14514
232,4100,368,938,14594
233,4006,369,969,14656
234,3911,385,974,14730
235,3845,382,973,14800
236,3770,374,982,14874
237,3727,353,973,14947
238,3663,356,942,15039
239,3618,336,908,15138
240,3583,324,888,15205
241,3546,308,903,15243
242,3473,321,925,15281
243,3408,341,915,15336
244,3360,332,904,15404
245,3308,337,891,15464
246,3284,305,881,15530
247,3253,289,862,15596
248,3245,270,825,15660
249,3212,282,799,15707
250,3207,271,778,15744
251,3199,255,777,15769
252,3180,251,759,15810
253,3157,246,756,15841
254,3151,231,753,15865
255,3150,222,725,15903
256,3138,218,705,15939
257,3146,204,687,15963
258,3136,221,636,16007
259,3145,208,638,16009
260,3149,205,633,16013
261,3169,203,611,16017
262,3182,189,594,16035
263,3205,183,572,16040
264,3233,183,557,16027
265,3241,190,531,16038
266,3255,175,536,16034
267,3269,176,526,16029
268,3301,166,510,16023
269,3330,150,491,16029
270,3342,156,476,16026
271,3352,156,462,16030
272,3369,167,449,16015
273,3379,158,441,16022
274,3429,160,430,15981
275,3454,150,430,15966
276,3491,139,404,15966
277,3521,145,396,15938
278,3570,140,387,15903
279,3599,142,385,15874
280,3652,133,387,15828
281,3687,133,382,15798
282,3727,133,367,15773
283,3748,151,353,15748
284,3779,136,354,15731
285,3829,146,341,15684
286,3859,146,348,15647
287,3885,130,360,15625
288,3928,121,369,15582
289,3968,131,365,15536
290,4018,135,353,15494
291,4033,152,350,15465
292,4071,140,363,15426
293,4116,137,367,15380
294,4143,142,368,15347
295,4172,144,370,15314
296,4201,161,359,15279
297,4240,156,355,15249
298,4271,159,357,15213
299,4284,166,356,15194
300,4304,163,378,15155
301,4343,165,368,15124
302,4382,149,368,15101
303,4421,155,371,15053
304,4440,172,372,15016
305,4469,165,391,14975
306,4506,172,388,14934
307,4517,169,406,14908
308,4576,151,425,14848
309,4605,162,422,14811
310,4614,177,420,14789
311,4644,159,436,14761
312,4671,176,422,14731
313,4662,190,423,14725
314,4677,199,418,14706
315,4689,209,425,14677
316,4710,192,434,14664
317,4721,202,425,14652
318,4731,201,429,14639
319,4747,193,436,14624
320,4747,212,433,14608
321,4765,195,454,14586
322,4757,211,460,14572
323,4772,198,462,14568
324,4768,219,456,14557
325,4754,234,466,14546
326,4778,215,495,14512
327,4771,232,511,14486
328,4791,240,512,14457
329,4777,247,521,14455
330,4776,235,530,14459
331,4770,239,530,14461
332,4762,261,533,14444
333,4776,252,540,14432
334,4757,250,556,14437
335,4740,236,563,14461
336,4741,219,584,14456
337,4737,234,564,14465
338,4720,259,559,14462
339,4714,255,576,14455
340,4725,233,597,14445
341,4714,238,608,14440
342,4705,253,615,14427
343,4702,266,625,14407
344,4685,271,648,14396
