Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19961,19,20,0
2,19950,21,28,1
3,19933,30,32,5
4,19898,49,39,14
5,19863,58,61,18
6,19826,78,70,26
7,19779,103,87,31
8,19716,133,112,39
9,19639,157,152,52
10,19532,213,181,74
11,19412,245,248,95
12,19253,329,292,126
13,19037,423,381,159
14,18781,498,515,206
15,18423,658,644,275
16,18005,792,853,350
17,17556,959,1020,465
18,16956,1186,1260,598
19,16239,1439,1576,746
20,15357,1786,1912,945
21,14330,2098,2373,1199
22,13178,2442,2837,1543
23,11893,2799,3379,1929
24,10566,3078,3949,2407
25,9191,3291,4553,2965
26,7846,3454,5148,3552
27,6596,3513,5574,4317
28,5458,3376,6148,5018
29,4370,3254,6555,5821
30,3488,2950,6920,6642
31,2787,2636,7075,7502
32,2183,2348,7034,8435
33,1745,2055,6833,9367
34,1397,1739,6601,10263
35,1139,1448,6304,11109
36,942,1215,5884,11959
37,818,991,5440,12751
38,737,839,4986,13438
39,672,667,4577,14084
40,626,560,4171,14643
41,608,481,3773,15138
42,575,390,3423,15612
43,542,327,3102,16029
44,545,290,2739,16426
45,547,248,2469,16736
46,559,206,2212,17023
47,606,163,1968,17263
48,626,151,1731,17492
49,658,136,1536,17670
50,672,139,1362,17827
51,711,124,1245,17920
52,756,92,1136,18016
53,782,89,996,18133
54,809,81,871,18239
55,844,70,795,18291
56,909,60,702,18329
57,959,67,622,18352
58,1001,67,548,18384
59,1053,52,502,18393
60,1118,56,443,18383
61,1169,55,402,18374
62,1228,50,370,18352
63,1297,43,326,18334
64,1331,47,293,18329
65,1376,45,266,18313
66,1427,48,242,18283
67,1489,36,229,18246
68,1534,38,203,18225
69,1594,35,192,18179
70,1648,25,180,18147
71,1708,22,171,18099
72,1756,26,156,18062
73,1801,28,132,18039
74,1851,26,125,17998
75,1896,22,115,17967
76,1962,18,104,17916
77,2015,12,90,17883
78,2068,12,75,17845
79,2129,10,73,17788
80,2190,12,67,17731
81,2235,11,57,17697
82,2297,12,53,17638
83,2346,13,47,17594
84,2414,14,45,17527
85,2466,13,46,17475
86,2510,14,42,17434
87,2565,11,37,17387
88,2610,13,37,17340
89,2655,14,34,17297
90,2706,9,34,17251
91,2753,11,30,17206
92,2804,10,27,17159
93,2858,6,29,17107
94,2903,7,26,17064
95,2973,6,25,16996
96,3027,4,21,16948
97,3064,3,18,16915
98,3120,2,18,16860
99,3167,7,16,16810
100,3228,5,16,16751
101,3281,3,18,16698
102,3334,3,15,16648
103,3386,4,13,16597
104,3433,4,11,16552
105,3464,3,12,16521
106,3515,4,8,16473
107,3565,4,7,16424
108,3624,3,7,16366
109,3664,4,8,16324
110,3717,3,8,16272
111,3757,2,8,16233
112,3810,5,7,16178
113,3858,5,8,16129
114,3906,4,9,16081
115,3963,4,9,16024
116,4013,3,7,15977
117,4055,3,6,15936
118,4090,1,4,15905
119,4121,1,4,15874
120,4175,2,4,15819
121,4221,1,4,15774
122,4261,2,4,15733
123,4323,0,5,15672
124,4359,1,5,15635
125,4412,2,5,15581
126,4444,3,5,15548
127,4488,1,7,15504
128,4530,2,6,15462
129,4571,4,7,15418
130,4613,1,10,15376
131,4655,4,9,15332
132,4684,4,10,15302
133,4721,6,9,15264
134,4767,7,13,15213
135,4805,6,16,15173
136,4841,7,16,15136
137,4878,5,15,15102
138,4914,9,15,15062
139,4944,7,19,15030
140,4971,9,21,14999
141,5015,13,18,14954
142,5061,14,22,14903
143,5098,13,23,14866
144,5133,16,26,14825
145,5168,14,31,14787
146,5205,10,36,14749
147,5239,13,37,14711
148,5268,17,31,14684
149,5314,13,33,14640
150,5344,10,35,14611
151,5374,13,35,14578
152,5408,12,34,14546
153,5447,10,38,14505
154,5474,13,38,14475
155,5502,16,33,14449
156,5551,11,41,14397
157,5578,14,41,14367
158,5605,15,46,14334
159,5631,13,46,14310
160,5656,18,45,14281
161,5688,21,44,14247
162,5727,20,39,14214
163,5763,18,41,14178
164,5783,23,45,14149
165,5817,21,46,14116
166,5842,24,48,14086
167,5870,24,51,14055
168,5900,32,45,14023
169,5945,19,55,13981
170,5973,20,54,13953
171,6010,22,52,13916
172,6047,26,47,13880
173,6081,30,49,13840
174,6105,27,52,13816
175,6140,26,53,13781
176,6178,26,59,13737
177,6193,36,56,13715
178,6229,31,58,13682
179,6252,29,65,13654
180,6277,33,65,13625
181,6304,44,66,13586
182,6331,37,76,13556
183,6358,35,81,13526
184,6383,37,92,13488
185,6407,44,96,13453
186,6425,44,105,13426
187,6443,55,102,13400
188,6459,54,110,13377
189,6476,58,113,13353
190,6491,67,116,13326
191,6502,69,119,13310
192,6502,72,124,13302
193,6511,69,140,13280
194,6533,64,147,13256
195,6532,76,157,13235
196,6538,81,162,13219
197,6533,84,177,13206
198,6536,87,186,13191
199,6534,101,196,13169
200,6530,108,219,13143
201,6511,126,222,13141
202,6487,126,239,13148
203,6486,115,257,13142
204,6474,138,265,13123
205,6446,153,280,13121
206,6419,176,295,13110
207,6406,176,315,13103
208,6353,182,349,13116
209,6318,191,353,13138
210,6275,196,382,13147
211,6236,204,406,13154
212,6213,185,430,13172
213,6173,196,449,13182
214,6128,215,468,13189
215,6079,226,481,13214
216,6012,243,489,13256
217,5934,270,508,13288
218,5861,298,533,13308
219,5800,287,559,13354
220,5732,305,570,13393
221,5680,322,593,13405
222,5627,299,627,13447
223,5553,320,640,13487
224,5494,297,680,13529
225,5425,318,698,13559
226,5347,342,698,13613
227,5266,352,705,13677
228,5176,373,725,13726
229,5103,345,765,13787
230,5010,366,772,13852
231,4904,385,802,13909
232,4843,374,801,13982
233,4760,372,845,14023
234,4670,367,858,14105
235,4585,372,879,14164
236,4522,376,873,14229
237,4460,360,888,14292
238,4378,380,888,14354
239,4276,376,902,14446
240,4223,350,903,14524
241,4148,369,911,14572
242,4093,346,913,14648
243,4046,345,910,14699
244,3986,341,907,14766
245,3919,345,910,14826
246,3847,354,921,14878
247,3786,355,930,14929
248,3714,347,924,15015
249,3653,353,926,15068
250,3590,326,938,15146
251,3548,313,917,15222
252,3519,322,872,15287
253,3477,324,895,15304
254,3444,302,887,15367
255,3412,296,894,15398
256,3351,298,888,15463
257,3344,272,870,15514
258,3327,261,855,15557
259,3293,266,853,15588
260,3270,260,839,15631
261,3237,258,836,15669
262,3210,253,810,15727
263,3207,238,793,15762
264,3184,266,746,15804
265,3179,235,744,15842
266,3171,228,736,15865
267,3192,218,710,15880
268,3197,213,694,15896
269,3209,208,682,15901
270,3205,198,683,15914
271,3207,190,673,15930
272,3190,214,654,15942
273,3215,201,633,15951
274,3230,192,612,15966
275,3233,205,603,15959
276,3245,209,599,15947
277,3262,200,577,15961
278,3296,182,571,15951
279,3311,195,549,15945
280,3333,188,544,15935
281,3340,176,537,15947
282,3388,157,520,15935
283,3424,153,503,15920
284,3438,159,502,15901
285,3472,146,499,15883
286,3492,156,479,15873
287,3537,159,464,15840
288,3576,152,464,15808
289,3611,149,455,15785
290,3645,154,431,15770
291,3678,141,438,15743
292,3722,135,429,15714
293,3738,149,398,15715
294,3751,153,403,15693
295,3773,154,407,15666
296,3812,148,398,15642
297,3824,149,401,15626
298,3850,148,399,15603
299,3897,134,411,15558
300,3939,129,403,15529
301,3965,129,382,15524
302,4003,117,375,15505
303,4029,137,359,15475
304,4080,121,372,15427
305,4107,131,357,15405
306,4142,143,347,15368
307,4164,152,351,15333
308,4210,137,349,15304
309,4237,148,333,15282
310,4245,128,349,15278
311,4264,147,348,15241
312,4293,151,354,15202
313,4331,141,363,15165
314,4352,141,372,15135
315,4373,149,377,15101
316,4419,138,378,15065
317,4431,152,359,15058
318,4475,129,370,15026
319,4485,138,381,14996
