Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19967,13,20,0
2,19960,17,22,1
3,19939,29,31,1
4,19924,30,41,5
5,19906,36,47,11
6,19879,49,56,16
7,19853,59,64,24
8,19817,77,77,29
9,19758,106,94,42
10,19691,133,120,56
11,19609,165,158,68
12,19502,212,195,91
13,19373,262,253,112
14,19194,344,314,148
15,18974,434,400,192
16,18708,539,498,255
17,18363,689,618,330
18,17973,820,792,415
19,17482,998,993,527
20,16898,1205,1248,649
21,16188,1446,1566,800
22,15300,1776,1905,1019
23,14346,2037,2349,1268
24,13265,2341,2839,1555
25,12050,2691,3328,1931
26,10742,2953,3953,2352
27,9401,3231,4505,2863
28,8074,3402,5080,3444
29,6786,3431,5655,4128
30,5546,3485,6140,4829
31,4457,3330,6584,5629
32,3580,3032,6892,6496
33,2834,2819,6943,7404
34,2246,2458,7031,8265
35,1775,2128,6914,9183
36,1405,1808,6747,10040
37,1136,1511,6442,10911
38,937,1206,6087,11770
39,776,1024,5607,12593
40,669,827,5182,13322
41,606,701,4736,13957
42,540,586,4323,14551
43,503,480,3951,15066
44,490,399,3550,15561
45,491,306,3225,15978
46,505,259,2896,16340
47,516,221,2587,16676
48,527,190,2302,16981
49,557,150,2064,17229
50,586,134,1827,17453
51,612,127,1597,17664
52,650,112,1421,17817
53,674,104,1278,17944
54,712,96,1148,18044
55,741,86,1029,18144
56,786,82,936,18196
57,807,83,827,18283
58,845,72,761,18322
59,891,67,695,18347
60,939,62,618,18381
61,971,60,555,18414
62,1023,58,496,18423
63,1082,59,441,18418
64,1122,62,382,18434
65,1174,41,360,18425
66,1241,37,333,18389
67,1302,34,301,18363
68,1354,37,265,18344
69,1416,31,242,18311
70,1478,26,214,18282
71,1533,26,186,18255
72,1610,23,169,18198
73,1662,21,152,18165
74,1712,25,143,18120
75,1775,24,133,18068
76,1836,24,124,18016
77,1894,19,110,17977
78,1960,20,100,17920
79,2008,18,92,17882
80,2071,16,85,17828
81,2134,18,80,17768
82,2184,16,74,17726
83,2232,19,61,17688
84,2292,14,57,17637
85,2342,12,55,17591
86,2401,11,53,17535
87,2462,9,48,17481
88,2520,8,49,17423
89,2567,10,46,17377
90,2619,8,46,17327
91,2676,12,36,17276
92,2729,12,35,17224
93,2777,10,32,17181
94,2837,8,30,17125
95,2903,7,29,17061
96,2963,9,22,17006
97,3012,9,25,16954
98,3057,9,26,16908
99,3102,11,25,16862
100,3147,11,25,16817
101,3192,10,22,16776
102,3229,12,23,16736
103,3269,10,24,16697
104,3319,9,24,16648
105,3364,8,23,16605
106,3425,7,20,16548
107,3458,5,19,16518
108,3508,4,15,16473
109,3561,4,14,16421
110,3604,5,11,16380
111,3649,7,12,16332
112,3705,9,11,16275
113,3756,8,11,16225
114,3802,4,12,16182
115,3844,7,10,16139
