Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19961,19,20,0
2,19947,26,26,1
3,19932,35,30,3
4,19916,39,38,7
5,19883,59,47,11
6,19851,63,68,18
7,19793,102,74,31
8,19745,105,112,38
9,19675,141,138,46
10,19587,179,173,61
11,19449,256,209,86
12,19295,297,297,111
13,19090,390,372,148
14,18832,471,514,183
15,18528,616,602,254
16,18141,754,760,345
17,17655,948,944,453
18,17029,1205,1185,581
19,16368,1363,1546,723
20,15510,1675,1906,909
21,14495,2023,2308,1174
22,13385,2333,2801,1481
23,12106,2734,3307,1853
24,10740,3065,3913,2282
25,9351,3330,4527,2792
26,7982,3486,5184,3348
27,6696,3453,5813,4038
28,5492,3433,6253,4822
29,4397,3299,6624,5680
30,3566,2978,6910,6546
31,2797,2755,6982,7466
32,2260,2395,6959,8386
33,1799,2103,6847,9251
34,1442,1793,6631,10134
35,1159,1545,6337,10959
36,969,1282,5998,11751
37,813,1073,5593,12521
38,718,813,5230,13239
39,638,682,4806,13874
40,603,565,4374,14458
41,550,500,3946,15004
42,543,365,3662,15430
43,522,323,3267,15888
44,517,269,2902,16312
45,514,241,2565,16680
46,544,198,2323,16935
47,559,177,2078,17186
48,581,157,1860,17402
49,628,135,1655,17582
50,649,134,1468,17749
51,691,120,1299,17890
52,715,115,1154,18016
53,750,98,1053,18099
54,776,93,951,18180
55,825,88,839,18248
56,858,77,752,18313
57,885,74,653,18388
58,953,58,588,18401
59,1009,61,534,18396
60,1086,51,484,18379
61,1123,46,447,18384
62,1174,44,396,18386
63,1242,41,359,18358
64,1312,39,322,18327
65,1365,43,287,18305
66,1420,44,256,18280
67,1486,36,230,18248
68,1536,41,205,18218
69,1589,33,195,18183
70,1649,27,172,18152
71,1693,26,164,18117
72,1754,31,153,18062
73,1806,26,155,18013
74,1848,18,145,17989
75,1898,21,129,17952
76,1945,27,119,17909
77,1989,27,108,17876
78,2026,26,104,17844
79,2071,17,99,17813
80,2116,14,86,17784
81,2177,10,75,17738
82,2241,14,63,17682
83,2300,15,59,17626
84,2350,16,54,17580
85,2405,11,50,17534
86,2455,10,43,17492
87,2502,13,38,17447
88,2561,9,42,17388
89,2608,10,41,17341
90,2654,11,38,17297
91,2700,10,36,17254
92,2759,9,35,17197
93,2801,14,31,17154
94,2845,15,32,17108
95,2883,15,33,17069
96,2931,12,32,17025
97,2988,10,29,16973
98,3045,9,27,16919
99,3107,10,28,16855
100,3151,6,30,16813
101,3200,4,28,16768
102,3241,7,23,16729
103,3290,10,22,16678
104,3326,8,23,16643
105,3379,5,21,16595
106,3425,9,21,16545
107,3487,8,24,16481
108,3520,5,28,16447
109,3569,6,20,16405
110,3612,5,18,16365
111,3640,13,14,16333
112,3696,3,24,16277
113,3736,3,24,16237
114,3772,5,21,16202
115,3811,6,19,16164
116,3859,5,20,16116
117,3898,5,18,16079
118,3952,6,18,16024
119,3996,1,22,15981
120,4035,7,20,15938
121,4088,8,22,15882
122,4141,7,24,15828
123,4177,5,24,15794
124,4212,9,23,15756
125,4253,7,25,15715
126,4302,7,23,15668
127,4334,6,24,15636
128,4374,8,22,15596
129,4423,9,23,15545
130,4474,9,20,15497
131,4509,6,23,15462
132,4548,5,24,15423
133,4595,4,24,15377
134,4628,10,20,15342
135,4674,8,22,15296
136,4718,6,22,15254
137,4766,4,23,15207
138,4804,9,19,15168
139,4846,9,20,15125
140,4883,9,20,15088
141,4933,10,17,15040
142,4966,9,18,15007
143,5008,10,18,14964
144,5046,9,19,14926
145,5081,14,17,14888
146,5121,12,22,14845
147,5153,9,26,14812
148,5190,9,25,14776
149,5231,12,26,14731
150,5280,11,28,14681
151,5328,11,27,14634
152,5361,19,27,14593
153,5381,27,27,14565
154,5423,19,34,14524
155,5457,15,37,14491
156,5483,19,38,14460
157,5515,21,43,14421
158,5544,18,47,14391
159,5586,20,51,14343
160,5625,20,51,14304
161,5659,21,56,14264
162,5688,25,55,14232
163,5701,27,58,14214
164,5722,33,56,14189
165,5749,25,64,14162
166,5779,21,67,14133
167,5806,28,66,14100
168,5838,25,65,14072
169,5866,28,62,14044
170,5874,34,68,14024
171,5901,32,71,13996
172,5928,40,72,13960
173,5953,35,75,13937
174,5973,38,75,13914
175,5987,37,76,13900
176,6023,42,77,13858
177,6050,44,85,13821
178,6083,32,101,13784
179,6096,41,104,13759
180,6115,44,111,13730
181,6120,66,105,13709
182,6125,64,120,13691
183,6141,69,111,13679
184,6158,69,119,13654
185,6174,72,121,13633
186,6175,80,136,13609
187,6188,76,156,13580
188,6209,70,167,13554
189,6215,80,168,13537
190,6231,86,174,13509
191,6230,94,175,13501
192,6232,102,187,13479
193,6217,94,210,13479
194,6235,80,228,13457
195,6226,103,231,13440
196,6225,121,231,13423
197,6222,123,249,13406
198,6212,139,256,13393
199,6208,131,267,13394
200,6178,157,273,13392
201,6166,150,299,13385
202,6158,156,316,13370
203,6135,159,346,13360
204,6116,160,376,13348
205,6092,174,380,13354
206,6046,192,391,13371
207,6002,200,401,13397
208,5960,217,421,13402
209,5945,196,457,13402
210,5906,206,476,13412
211,5866,215,485,13434
212,5787,259,499,13455
213,5730,274,515,13481
214,5673,272,550,13505
215,5608,277,578,13537
216,5540,292,614,13554
217,5453,311,640,13596
218,5379,315,665,13641
219,5304,300,705,13691
220,5235,316,711,13738
221,5179,320,727,13774
222,5085,355,727,13833
223,5017,353,747,13883
224,4942,374,771,13913
225,4848,388,807,13957
226,4767,392,831,14010
227,4685,378,865,14072
228,4599,379,891,14131
229,4513,369,911,14207
230,4426,365,921,14288
231,4346,378,940,14336
232,4280,357,949,14414
233,4196,369,957,14478
234,4122,353,971,14554
235,4068,329,950,14653
236,3979,364,939,14718
237,3930,344,950,14776
238,3837,350,948,14865
239,3781,334,953,14932
240,3718,346,924,15012
241,3674,344,912,15070
242,3606,344,921,15129
243,3534,346,917,15203
244,3505,331,914,15250
245,3485,328,890,15297
246,3424,329,891,15356
247,3376,330,902,15392
248,3320,322,910,15448
249,3278,305,908,15509
250,3245,298,902,15555
251,3225,294,906,15575
252,3201,286,889,15624
253,3175,277,871,15677
254,3153,274,851,15722
255,3153,243,837,15767
256,3140,268,791,15801
257,3116,266,782,15836
258,3111,248,780,15861
259,3095,258,731,15916
260,3087,245,737,15931
261,3077,241,710,15972
262,3070,228,698,16004
263,3080,221,688,16011
264,3102,199,676,16023
265,3126,189,643,16042
266,3139,195,607,16059
267,3140,207,587,16066
268,3167,196,573,16064
269,3158,202,575,16065
270,3180,185,575,16060
271,3217,166,563,16054
272,3214,184,534,16068
273,3231,178,540,16051
274,3241,173,524,16062
275,3279,168,519,16034
276,3312,163,516,16009
277,3328,179,488,16005
278,3374,170,469,15987
279,3401,160,475,15964
280,3447,138,471,15944
281,3469,149,460,15922
282,3499,144,450,15907
283,3522,148,436,15894
284,3544,165,424,15867
285,3581,169,410,15840
286,3607,171,403,15819
287,3655,154,413,15778
288,3676,170,401,15753
289,3708,166,398,15728
290,3755,145,402,15698
291,3789,136,408,15667
292,3807,161,391,15641
293,3841,148,398,15613
294,3860,144,398,15598
295,3910,129,394,15567
296,3923,151,374,15552
297,3972,137,380,15511
298,4009,145,385,15461
299,4048,134,388,15430
300,4089,119,386,15406
301,4122,137,377,15364
302,4150,130,388,15332
303,4193,123,399,15285
304,4221,139,382,15258
305,4229,153,379,15239
306,4271,143,378,15208
307,4282,172,365,15181
308,4330,156,380,15134
309,4371,163,356,15110
310,4422,158,363,15057
311,4416,160,370,15054
312,4463,143,373,15021
313,4483,165,369,14983
314,4515,158,374,14953
315,4523,161,389,14927
316,4542,147,417,14894
317,4518,177,420,14885
318,4541,187,419,14853
319,4552,177,433,14838
