Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19959,21,20,0
2,19943,29,26,2
3,19932,31,34,3
4,19903,52,37,8
5,19881,50,54,15
6,19839,69,68,24
7,19792,88,91,29
8,19727,110,119,44
9,19646,156,141,57
10,19549,188,184,79
11,19423,242,238,97
12,19278,298,291,133
13,19112,344,377,167
14,18858,469,472,201
15,18535,620,575,270
16,18159,762,730,349
17,17727,892,941,440
18,17155,1130,1146,569
19,16518,1335,1432,715
20,15742,1577,1788,893
21,14776,1954,2124,1146
22,13756,2227,2597,1420
23,12510,2644,3082,1764
24,11253,2870,3712,2165
25,9926,3131,4306,2637
26,8560,3395,4867,3178
27,7210,3542,5445,3803
28,5952,3522,6041,4485
29,4783,3467,6476,5274
30,3882,3165,6827,6126
31,3090,2865,7004,7041
32,2430,2583,6988,7999
33,1904,2241,6949,8906
34,1501,1916,6772,9811
35,1231,1602,6456,10711
36,998,1334,6135,11533
37,853,1066,5758,12323
38,725,888,5308,13079
39,647,709,4880,13764
40,576,599,4404,14421
41,531,494,3970,15005
42,523,388,3627,15462
43,502,341,3258,15899
44,507,286,2906,16301
45,513,229,2611,16647
46,536,184,2319,16961
47,547,168,2050,17235
48,572,130,1858,17440
49,599,121,1628,17652
50,625,104,1451,17820
51,676,90,1298,17936
52,707,87,1161,18045
53,753,78,1030,18139
54,787,73,913,18227
55,829,71,798,18302
56,861,77,698,18364
57,909,69,638,18384
58,942,63,556,18439
59,996,57,497,18450
60,1039,45,449,18467
61,1096,51,388,18465
62,1144,50,353,18453
63,1189,41,329,18441
64,1250,40,293,18417
65,1293,39,255,18413
66,1334,38,222,18406
67,1410,29,206,18355
68,1463,29,184,18324
69,1514,29,171,18286
70,1561,22,159,18258
71,1609,24,149,18218
72,1658,25,135,18182
73,1706,24,128,18142
74,1756,26,115,18103
75,1807,24,100,18069
76,1863,22,91,18024
77,1920,19,91,17970
78,1978,18,83,17921
79,2032,20,71,17877
80,2093,14,68,17825
81,2144,15,63,17778
82,2187,16,67,17730
83,2244,15,66,17675
84,2317,16,59,17608
85,2378,17,56,17549
86,2430,20,49,17501
87,2477,20,47,17456
88,2540,16,49,17395
89,2597,16,48,17339
90,2655,11,49,17285
91,2720,13,43,17224
92,2762,14,39,17185
93,2823,16,40,17121
94,2861,21,39,17079
95,2900,24,40,17036
96,2950,15,51,16984
97,2997,17,42,16944
98,3047,13,40,16900
99,3101,9,43,16847
100,3145,7,42,16806
101,3182,7,42,16769
102,3241,8,38,16713
103,3292,5,38,16665
104,3341,4,38,16617
105,3399,9,34,16558
106,3448,5,36,16511
107,3482,9,34,16475
108,3534,11,32,16423
109,3594,8,31,16367
110,3639,11,34,16316
111,3687,9,34,16270
112,3718,10,35,16237
113,3747,14,32,16207
114,3795,11,34,16160
115,3842,15,32,16111
116,3901,20,29,16050
117,3935,24,32,16009
118,3968,25,34,15973
119,4012,16,37,15935
120,4057,16,40,15887
121,4111,15,42,15832
122,4170,16,38,15776
123,4206,16,37,15741
124,4251,19,36,15694
125,4295,11,41,15653
126,4337,16,38,15609
127,4385,16,40,15559
128,4424,18,40,15518
129,4473,18,38,15471
130,4509,14,45,15432
131,4559,16,49,15376
132,4600,21,42,15337
133,4636,26,38,15300
134,4675,23,47,15255
135,4708,25,48,15219
136,4748,22,48,15182
137,4777,27,51,15145
138,4821,22,53,15104
139,4863,23,50,15064
140,4915,27,44,15014
141,4950,23,47,14980
142,4981,22,46,14951
143,5015,30,43,14912
144,5057,30,44,14869
145,5079,36,47,14838
146,5117,33,58,14792
147,5149,36,64,14751
148,5182,34,68,14716
149,5214,36,70,14680
150,5243,45,69,14643
151,5276,47,70,14607
152,5304,44,75,14577
153,5333,49,78,14540
154,5364,53,85,14498
155,5392,54,85,14469
156,5416,53,92,14439
157,5445,56,99,14400
158,5449,60,105,14386
159,5462,56,118,14364
160,5484,61,118,14337
161,5508,62,129,14301
162,5534,61,132,14273
163,5541,62,139,14258
164,5550,81,143,14226
165,5563,79,155,14203
166,5577,87,154,14182
167,5615,75,165,14145
168,5623,87,169,14121
169,5649,80,175,14096
170,5665,83,180,14072
171,5662,93,185,14060
172,5656,102,194,14048
173,5642,112,198,14048
174,5644,108,218,14030
175,5645,109,226,14020
176,5648,106,243,14003
177,5637,118,251,13994
178,5633,123,266,13978
179,5621,144,261,13974
180,5611,145,286,13958
181,5601,151,302,13946
182,5571,165,298,13966
183,5555,158,331,13956
184,5525,168,335,13972
185,5508,165,363,13964
186,5481,171,384,13964
187,5459,171,397,13973
188,5423,186,403,13988
189,5375,193,420,14012
190,5332,204,442,14022
191,5304,207,447,14042
192,5271,210,468,14051
193,5247,212,484,14057
194,5204,219,489,14088
195,5177,218,511,14094
196,5130,229,526,14115
197,5081,250,520,14149
198,5046,237,544,14173
199,4998,247,560,14195
200,4961,249,577,14213
201,4927,251,568,14254
202,4883,241,600,14276
203,4847,239,584,14330
204,4797,248,578,14377
205,4760,253,587,14400
206,4718,251,603,14428
207,4683,248,605,14464
208,4637,260,615,14488
209,4605,267,626,14502
210,4573,257,621,14549
211,4514,265,631,14590
212,4462,290,633,14615
213,4444,273,632,14651
214,4413,256,638,14693
215,4380,242,638,14740
216,4346,244,644,14766
217,4313,256,633,14798
218,4262,279,633,14826
219,4231,271,631,14867
220,4177,297,617,14909
221,4154,273,642,14931
222,4130,274,628,14968
223,4091,279,636,14994
224,4070,264,658,15008
225,4050,260,657,15033
226,4031,254,650,15065
227,4012,237,655,15096
228,3997,240,652,15111
229,3974,230,639,15157
230,3932,234,640,15194
231,3926,233,636,15205
232,3905,249,616,15230
233,3887,261,610,15242
234,3871,242,637,15250
235,3849,253,636,15262
236,3818,264,626,15292
237,3805,240,641,15314
238,3799,234,643,15324
239,3793,221,660,15326
240,3775,228,642,15355
241,3749,246,637,15368
242,3736,227,643,15394
243,3729,215,639,15417
244,3723,224,610,15443
245,3726,222,594,15458
246,3717,240,583,15460
247,3705,246,571,15478
248,3716,227,593,15464
249,3719,223,591,15467
250,3718,199,602,15481
251,3709,208,594,15489
252,3708,214,583,15495
253,3698,220,582,15500
254,3703,223,575,15499
255,3721,212,567,15500
256,3711,226,566,15497
257,3723,210,564,15503
258,3731,218,556,15495
259,3763,207,554,15476
260,3774,207,542,15477
261,3790,217,536,15457
262,3818,207,540,15435
263,3821,202,542,15435
264,3839,205,515,15441
265,3853,204,515,15428
266,3866,195,513,15426
267,3867,202,497,15434
268,3897,213,486,15404
269,3900,214,493,15393
270,3901,199,508,15392
271,3914,185,514,15387
272,3929,192,499,15380
273,3950,203,471,15376
274,3968,186,485,15361
275,3972,189,489,15350
276,3985,187,507,15321
277,4009,192,495,15304
278,4039,183,496,15282
279,4055,175,493,15277
280,4060,187,484,15269
281,4076,194,472,15258
282,4076,199,472,15253
283,4104,183,460,15253
284,4118,194,449,15239
285,4155,195,440,15210
286,4160,199,437,15204
287,4161,190,441,15208
288,4168,192,416,15224
289,4192,186,432,15190
290,4217,172,465,15146
291,4252,165,461,15122
292,4250,194,432,15124
293,4280,180,460,15080
294,4303,184,465,15048
295,4327,172,479,15022
296,4352,180,482,14986
297,4353,180,484,14983
298,4351,203,488,14958
299,4365,199,493,14943
300,4371,192,500,14937
301,4376,187,505,14932
302,4371,215,501,14913
303,4390,222,509,14879
304,4394,232,516,14858
305,4408,221,513,14858
306,4412,223,518,14847
307,4400,225,538,14837
308,4406,223,546,14825
309,4414,223,552,14811
310,4400,230,562,14808
311,4418,225,570,14787
312,4417,220,564,14799
313,4425,219,562,14794
314,4419,224,562,14795
315,4416,232,568,14784
316,4408,241,578,14773
317,4404,249,583,14764
318,4397,254,580,14769
319,4372,269,594,14765
320,4364,257,622,14757
321,4363,257,620,14760
322,4362,244,644,14750
323,4347,252,630,14771
324,4357,232,648,14763
325,4347,243,636,14774
326,4335,264,632,14769
327,4335,244,649,14772
328,4315,247,650,14788
329,4297,260,661,14782
330,4285,249,655,14811
331,4288,249,663,14800
332,4274,268,665,14793
333,4240,279,687,14794
334,4223,282,697,14798
335,4211,280,719,14790
336,4181,282,709,14828
337,4154,299,706,14841
338,4157,262,727,14854
339,4141,284,725,14850
340,4125,296,729,14850
341,4104,306,719,14871
342,4099,295,730,14876
343,4075,293,728,14904
344,4070,306,735,14889
345,4077,274,740,14909
346,4066,287,736,14911
347,4062,278,743,14917
348,4027,296,748,14929
349,4009,296,742,14953
350,3992,282,746,14980
351,3981,293,751,14975
352,3965,275,773,14987
353,3967,263,757,15013
354,3964,256,741,15039
355,3942,272,725,15061
356,3926,285,737,15052
357,3929,277,733,15061
358,3895,300,725,15080
359,3894,280,731,15095
360,3884,278,736,15102
361,3878,285,727,15110
362,3861,290,734,15115
363,3866,264,734,15136
364,3855,281,703,15161
365,3880,242,724,15154
366,3879,242,732,15147
367,3875,250,694,15181
368,3878,258,684,15180
369,3873,275,677,15175
370,3881,265,673,15181
371,3901,263,688,15148
372,3905,267,687,15141
373,3889,281,675,15155
374,3867,277,688,15168
375,3875,249,700,15176
376,3859,266,676,15199
377,3858,275,654,15213
378,3847,284,662,15207
379,3832,277,677,15214
380,3833,271,669,15227
381,3842,253,675,15230
382,3811,271,678,15240
383,3805,267,708,15220
384,3809,275,708,15208
385,3792,266,715,15227
386,3784,271,700,15245
387,3771,264,688,15277
388,3792,285,657,15266
389,3806,272,676,15246
390,3796,275,671,15258
391,3797,257,678,15268
392,3808,245,662,15285
393,3803,260,640,15297
394,3830,241,640,15289
395,3851,248,606,15295
396,3874,255,595,15276
397,3869,238,614,15279
398,3895,228,629,15248
399,3899,237,615,15249
400,3888,257,603,15252
401,3892,254,624,15230
402,3897,258,625,15220
403,3917,234,622,15227
404,3920,230,615,15235
405,3907,229,616,15248
