Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19970,10,20,0
2,19960,13,23,4
3,19943,23,28,6
4,19924,36,29,11
5,19902,44,38,16
6,19871,59,48,22
7,19845,62,69,24
8,19796,92,81,31
9,19736,110,107,47
10,19657,149,136,58
11,19533,220,175,72
12,19412,252,243,93
13,19248,315,299,138
14,19039,401,393,167
15,18769,516,492,223
16,18444,652,613,291
17,18043,812,782,363
18,17534,1013,983,470
19,16944,1245,1203,608
20,16230,1457,1537,776
21,15373,1800,1873,954
22,14412,2072,2316,1200
23,13285,2454,2749,1512
24,12048,2789,3279,1884
25,10789,3013,3901,2297
26,9392,3299,4505,2804
27,8016,3483,5101,3400
28,6667,3583,5712,4038
29,5469,3471,6262,4798
30,4367,3322,6688,5623
31,3457,3068,6957,6518
32,2732,2756,7032,7480
33,2135,2440,7049,8376
34,1701,2098,6847,9354
35,1384,1718,6707,10191
36,1124,1457,6366,11053
37,953,1211,5979,11857
38,821,1027,5546,12606
39,702,849,5140,13309
40,637,671,4754,13938
41,584,548,4334,14534
42,546,460,3892,15102
43,538,375,3527,15560
44,528,305,3185,15982
45,522,247,2868,16363
46,524,214,2564,16698
47,526,192,2313,16969
48,538,173,2047,17242
49,568,143,1816,17473
50,583,132,1615,17670
51,617,111,1444,17828
52,657,90,1280,17973
53,686,88,1128,18098
54,726,83,1008,18183
55,763,75,894,18268
56,815,66,798,18321
57,867,49,728,18356
58,931,45,644,18380
59,975,41,562,18422
60,1012,39,494,18455
61,1058,43,437,18462
62,1112,39,379,18470
63,1165,35,344,18456
64,1229,33,308,18430
65,1281,30,264,18425
66,1338,28,237,18397
67,1388,24,213,18375
68,1450,23,185,18342
69,1501,21,166,18312
70,1560,24,146,18270
71,1620,19,130,18231
72,1702,21,120,18157
73,1745,17,105,18133
74,1807,17,96,18080
75,1881,10,92,18017
76,1937,7,84,17972
77,1998,8,75,17919
78,2066,7,63,17864
79,2116,9,51,17824
80,2165,10,46,17779
81,2226,13,40,17721
82,2278,14,31,17677
83,2326,15,31,17628
84,2377,11,31,17581
85,2430,7,31,17532
86,2483,6,28,17483
87,2538,5,25,17432
88,2587,7,22,17384
89,2634,7,23,17336
90,2694,10,22,17274
