Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19964,16,20,0
2,19944,24,32,0
3,19918,37,41,4
4,19890,47,53,10
5,19841,74,69,16
6,19796,94,85,25
7,19730,118,123,29
8,19648,152,156,44
9,19543,201,194,62
10,19389,268,256,87
11,19212,342,324,122
12,19010,412,416,162
13,18703,585,502,210
14,18363,718,641,278
15,17935,876,832,357
16,17428,1047,1065,460
17,16825,1245,1347,583
18,16031,1576,1640,753
19,15118,1866,2048,968
20,14096,2174,2491,1239
21,12881,2539,3032,1548
22,11640,2868,3562,1930
23,10332,3048,4247,2373
24,8838,3373,4865,2924
25,7389,3510,5560,3541
26,6095,3525,6099,4281
27,4885,3508,6529,5078
28,3859,3299,6866,5976
29,3041,3038,7030,6891
30,2390,2636,7099,7875
31,1892,2318,7013,8777
32,1505,1922,6897,9676
33,1184,1669,6566,10581
34,952,1424,6202,11422
35,789,1157,5832,12222
36,688,927,5415,12970
37,618,742,4996,13644
38,567,597,4587,14249
39,526,483,4168,14823
40,504,412,3738,15346
41,484,333,3372,15811
42,491,266,3040,16203
43,501,222,2766,16511
44,514,183,2462,16841
45,511,171,2184,17134
46,549,137,1974,17340
47,568,121,1748,17563
48,601,99,1564,17736
49,643,88,1385,17884
50,676,96,1198,18030
51,716,90,1064,18130
52,761,89,941,18209
53,805,70,858,18267
54,845,72,752,18331
55,888,57,695,18360
56,932,57,606,18405
57,965,51,552,18432
58,1000,58,505,18437
59,1051,47,454,18448
60,1098,49,411,18442
61,1119,55,371,18455
62,1179,48,334,18439
63,1237,38,313,18412
64,1293,37,276,18394
65,1338,38,246,18378
66,1372,40,226,18362
67,1429,36,212,18323
68,1472,32,194,18302
69,1533,33,177,18257
70,1596,22,157,18225
71,1657,26,144,18173
72,1717,26,131,18126
73,1764,22,131,18083
74,1816,22,127,18035
75,1866,23,114,17997
76,1923,24,102,17951
77,1971,26,105,17898
78,2024,19,105,17852
79,2069,16,94,17821
80,2124,17,85,17774
81,2175,17,80,17728
82,2223,13,75,17689
83,2272,17,75,17636
84,2318,17,74,17591
85,2358,18,70,17554
86,2423,20,68,17489
87,2481,20,65,17434
88,2522,21,67,17390
89,2573,17,68,17342
90,2618,20,67,17295
91,2671,17,63,17249
92,2727,16,58,17199
93,2777,11,59,17153
94,2818,15,56,17111
95,2854,8,61,17077
96,2895,15,51,17039
97,2947,10,51,16992
98,2982,18,45,16955
99,3026,14,47,16913
100,3059,20,42,16879
101,3108,11,45,16836
102,3158,13,41,16788
103,3207,11,38,16744
104,3250,14,40,16696
105,3306,13,38,16643
106,3346,14,37,16603
107,3378,12,38,16572
108,3421,10,38,16531
109,3469,12,36,16483
110,3525,10,38,16427
111,3568,13,34,16385
112,3615,10,34,16341
113,3665,11,37,16287
114,3708,13,37,16242
115,3768,15,34,16183
116,3806,10,37,16147
117,3839,10,37,16114
118,3877,14,31,16078
119,3928,16,30,16026
120,3972,15,31,15982
121,4023,14,31,15932
122,4060,20,31,15889
123,4107,14,32,15847
124,4156,15,34,15795
125,4190,14,36,15760
126,4239,9,38,15714
127,4273,10,40,15677
128,4309,14,38,15639
129,4344,19,36,15601
130,4377,22,34,15567
131,4409,18,37,15536
132,4458,19,38,15485
133,4504,19,38,15439
134,4555,11,40,15394
135,4598,12,36,15354
136,4638,13,37,15312
137,4672,12,38,15278
138,4709,12,38,15241
139,4749,16,35,15200
140,4785,11,38,15166
141,4831,11,38,15120
142,4869,12,36,15083
143,4909,14,28,15049
144,4947,15,28,15010
145,4983,11,36,14970
146,5011,15,36,14938
147,5049,17,31,14903
148,5086,16,36,14862
149,5123,16,32,14829
150,5176,9,37,14778
151,5205,20,33,14742
152,5235,13,41,14711
153,5279,15,41,14665
154,5322,18,40,14620
155,5353,17,43,14587
156,5387,13,42,14558
157,5412,16,42,14530
158,5452,22,43,14483
159,5499,30,42,14429
160,5541,25,46,14388
161,5573,27,52,14348
162,5595,20,59,14326
163,5636,22,54,14288
164,5663,25,55,14257
165,5691,30,56,14223
166,5717,37,58,14188
167,5747,33,67,14153
168,5779,42,69,14110
169,5799,47,70,14084
170,5846,45,70,14039
171,5873,52,73,14002
172,5894,53,78,13975
173,5922,57,85,13936
174,5947,63,84,13906
175,5960,60,94,13886
176,5969,60,100,13871
177,5977,69,104,13850
178,5993,64,116,13827
179,6015,53,119,13813
180,6042,58,130,13770
181,6060,65,135,13740
182,6071,77,137,13715
183,6074,81,145,13700
184,6083,82,149,13686
185,6095,79,165,13661
186,6120,82,171,13627
187,6119,90,181,13610
188,6130,99,188,13583
189,6114,103,201,13582
190,6093,126,216,13565
191,6083,121,234,13562
192,6072,128,243,13557
193,6038,138,265,13559
194,6035,143,278,13544
195,6028,144,288,13540
196,6026,135,306,13533
