Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19962,18,20,0
2,19946,29,22,3
3,19934,29,34,3
4,19919,36,37,8
5,19890,46,49,15
6,19860,60,58,22
7,19825,68,71,36
8,19780,87,84,49
9,19727,106,106,61
10,19658,131,139,72
11,19571,168,178,83
12,19451,221,230,98
13,19306,285,275,134
14,19103,386,350,161
15,18882,463,455,200
16,18573,578,579,270
17,18197,753,706,344
18,17759,909,890,442
19,17203,1105,1129,563
20,16588,1300,1384,728
21,15820,1569,1709,902
22,14903,1885,2065,1147
23,13840,2225,2517,1418
24,12628,2608,3007,1757
25,11356,2953,3576,2115
26,10005,3226,4169,2600
27,8665,3407,4786,3142
28,7368,3516,5330,3786
29,6121,3494,5880,4505
30,5014,3349,6336,5301
31,4068,3178,6655,6099
32,3218,2917,6886,6979
33,2529,2617,6947,7907
34,1993,2287,6879,8841
35,1603,1927,6745,9725
36,1291,1631,6476,10602
37,1063,1338,6143,11456
38,892,1128,5692,12288
39,780,912,5295,13013
40,691,712,4897,13700
41,627,595,4443,14335
42,590,492,4014,14904
43,577,375,3692,15356
44,558,309,3321,15812
45,556,252,2982,16210
46,552,196,2688,16564
47,559,183,2414,16844
48,577,166,2132,17125
49,590,150,1922,17338
50,608,127,1701,17564
51,647,107,1543,17703
52,668,116,1366,17850
53,694,94,1215,17997
54,724,92,1070,18114
55,765,81,974,18180
56,810,70,871,18249
57,879,65,795,18261
58,927,70,686,18317
59,968,62,611,18359
60,1018,52,552,18378
61,1057,56,494,18393
62,1098,58,443,18401
63,1150,56,391,18403
64,1193,69,349,18389
65,1254,56,326,18364
66,1305,49,289,18357
67,1362,45,265,18328
68,1408,41,242,18309
69,1447,38,219,18296
70,1499,27,207,18267
71,1562,33,183,18222
72,1613,32,179,18176
73,1675,24,169,18132
74,1730,21,150,18099
75,1784,25,132,18059
76,1845,23,121,18011
77,1904,17,113,17966
78,1972,16,106,17906
79,2026,14,96,17864
80,2074,13,85,17828
81,2135,14,75,17776
82,2202,10,70,17718
83,2269,15,63,17653
84,2326,15,59,17600
85,2380,10,61,17549
86,2431,11,58,17500
87,2473,9,57,17461
88,2515,15,54,17416
89,2562,11,48,17379
90,2603,15,42,17340
91,2651,15,39,17295
92,2698,13,42,17247
93,2756,11,40,17193
94,2810,9,39,17142
95,2858,9,37,17096
96,2908,12,38,17042
97,2953,13,35,16999
98,3004,12,33,16951
99,3063,8,33,16896
100,3117,6,31,16846
101,3180,5,30,16785
102,3215,7,31,16747
103,3279,7,24,16690
104,3318,10,26,16646
105,3366,11,21,16602
106,3413,10,24,16553
107,3467,11,23,16499
108,3521,10,20,16449
109,3558,12,21,16409
110,3599,9,24,16368
111,3641,9,23,16327
112,3682,10,18,16290
113,3747,6,21,16226
114,3790,4,20,16186
115,3827,4,22,16147
116,3868,5,19,16108
117,3906,5,15,16074
118,3959,6,13,16022
119,4003,5,15,15977
120,4036,5,17,15942
121,4084,3,16,15897
122,4119,7,14,15860
