Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19963,17,20,0
2,19956,13,28,3
3,19939,23,30,8
4,19918,34,38,10
5,19894,46,47,13
6,19855,65,57,23
7,19804,88,76,32
8,19745,115,100,40
9,19681,142,121,56
10,19598,170,165,67
11,19487,201,228,84
12,19333,277,269,121
13,19167,346,326,161
14,18948,440,400,212
15,18704,508,525,263
16,18386,642,647,325
17,17996,793,804,407
18,17480,1018,985,517
19,16849,1248,1242,661
20,16116,1483,1564,837
21,15279,1718,1939,1064
22,14237,2083,2371,1309
23,13133,2357,2851,1659
24,11894,2706,3354,2046
25,10613,2943,3961,2483
26,9310,3138,4581,2971
27,7868,3450,5107,3575
28,6564,3513,5647,4276
29,5408,3417,6171,5004
30,4421,3262,6511,5806
31,3536,3032,6776,6656
32,2803,2748,6926,7523
33,2227,2417,6888,8468
34,1799,2036,6820,9345
35,1440,1746,6549,10265
36,1175,1491,6229,11105
37,994,1206,5855,11945
38,833,1035,5465,12667
39,716,855,5114,13315
40,641,703,4698,13958
41,590,572,4306,14532
42,572,472,3918,15038
43,538,398,3570,15494
44,531,326,3251,15892
45,540,249,2888,16323
46,532,225,2578,16665
47,560,196,2325,16919
48,579,168,2082,17171
49,603,150,1852,17395
50,637,127,1658,17578
51,678,115,1470,17737
52,719,93,1310,17878
53,771,88,1180,17961
54,799,89,1058,18054
55,845,79,955,18121
56,891,71,844,18194
57,915,69,752,18264
58,970,54,650,18326
59,1022,52,567,18359
60,1065,57,508,18370
61,1114,59,454,18373
62,1148,60,415,18377
63,1202,48,387,18363
64,1254,46,344,18356
65,1310,34,327,18329
66,1360,34,289,18317
67,1411,38,244,18307
68,1453,36,232,18279
69,1525,27,211,18237
70,1585,28,184,18203
71,1648,23,159,18170
72,1708,24,148,18120
73,1756,26,131,18087
74,1808,23,114,18055
75,1843,21,108,18028
76,1890,25,92,17993
77,1925,28,88,17959
78,1981,21,84,17914
79,2029,21,75,17875
80,2084,14,70,17832
81,2144,15,64,17777
82,2213,16,60,17711
83,2261,11,65,17663
84,2316,11,60,17613
85,2366,13,52,17569
86,2433,9,53,17505
87,2478,10,51,17461
88,2531,9,52,17408
89,2586,14,50,17350
90,2632,14,43,17311
91,2675,15,40,17270
92,2731,8,41,17220
93,2789,4,38,17169
94,2842,9,33,17116
95,2882,11,32,17075
96,2929,9,33,17029
97,2986,10,34,16970
98,3035,5,31,16929
99,3079,6,27,16888
100,3122,3,29,16846
101,3170,2,29,16799
102,3214,7,24,16755
103,3270,5,28,16697
104,3312,6,24,16658
105,3360,6,22,16612
106,3410,9,22,16559
