Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19965,15,20,0
2,19952,24,22,2
3,19935,34,27,4
4,19913,43,39,5
5,19889,44,55,12
6,19849,66,70,15
7,19797,89,90,24
8,19745,113,106,36
9,19679,136,136,49
10,19566,198,168,68
11,19444,249,216,91
12,19299,297,290,114
13,19107,390,341,162
14,18871,492,429,208
15,18570,611,542,277
16,18233,708,692,367
17,17755,936,845,464
18,17234,1085,1096,585
19,16553,1369,1331,747
20,15817,1587,1670,926
21,14934,1894,2044,1128
22,13949,2150,2495,1406
23,12767,2509,2982,1742
24,11562,2774,3530,2134
25,10245,3069,4097,2589
26,8915,3303,4656,3126
27,7536,3536,5208,3720
28,6272,3522,5799,4407
29,5145,3403,6284,5168
30,4120,3229,6668,5983
31,3267,2942,6944,6847
32,2571,2656,7049,7724
33,2055,2308,7013,8624
34,1639,1986,6883,9492
35,1320,1709,6546,10425
36,1081,1439,6227,11253
37,902,1177,5848,12073
38,772,960,5452,12816
39,690,761,5050,13499
40,646,607,4635,14112
41,602,507,4197,14694
42,580,402,3820,15198
43,562,333,3428,15677
44,554,274,3082,16090
45,561,219,2734,16486
46,564,208,2436,16792
47,575,197,2146,17082
48,613,171,1918,17298
49,649,139,1702,17510
50,656,123,1533,17688
51,674,109,1344,17873
52,718,93,1205,17984
53,772,81,1079,18068
54,819,74,948,18159
55,868,66,851,18215
56,913,58,781,18248
57,945,63,706,18286
58,982,73,606,18339
59,1029,68,562,18341
60,1075,65,502,18358
61,1108,58,471,18363
62,1146,54,437,18363
63,1191,53,392,18364
64,1246,47,360,18347
65,1285,50,332,18333
66,1322,50,310,18318
67,1377,40,296,18287
68,1432,41,268,18259
69,1493,33,245,18229
70,1548,39,213,18200
71,1600,30,198,18172
72,1649,29,178,18144
73,1699,30,158,18113
74,1771,27,151,18051
75,1817,32,135,18016
76,1880,25,127,17968
77,1952,23,115,17910
78,2011,22,105,17862
79,2056,24,94,17826
80,2110,26,91,17773
81,2177,24,75,17724
82,2234,16,67,17683
83,2278,19,60,17643
84,2354,18,57,17571
85,2409,13,55,17523
86,2471,18,48,17463
87,2517,14,47,17422
88,2573,14,49,17364
89,2623,7,49,17321
90,2679,8,45,17268
91,2725,14,36,17225
92,2784,14,34,17168
93,2850,11,32,17107
94,2903,9,30,17058
95,2956,6,28,17010
96,3006,5,22,16967
97,3043,7,21,16929
98,3093,7,23,16877
99,3137,9,22,16832
100,3181,9,25,16785
101,3223,12,22,16743
102,3279,14,19,16688
103,3322,10,22,16646
104,3361,10,24,16605
105,3401,8,25,16566
106,3457,5,24,16514
107,3509,10,21,16460
108,3535,14,20,16431
109,3565,11,20,16404
110,3606,9,22,16363
111,3647,10,21,16322
112,3699,7,21,16273
113,3752,7,22,16219
114,3797,8,20,16175
115,3843,6,21,16130
116,3889,9,22,16080
117,3940,3,23,16034
118,3984,6,19,15991
119,4015,6,19,15960
120,4062,5,18,15915
121,4089,8,13,15890
122,4124,5,16,15855
123,4169,5,17,15809
124,4209,4,16,15771
125,4248,8,15,15729
126,4295,9,12,15684
127,4334,10,12,15644
128,4371,8,12,15609
129,4407,10,13,15570
130,4459,4,16,15521
131,4499,4,17,15480
132,4541,4,18,15437
133,4584,7,18,15391
134,4626,3,17,15354
135,4674,4,16,15306
136,4720,3,14,15263
137,4759,4,13,15224
138,4800,4,14,15182
139,4841,6,14,15139
140,4878,6,15,15101
141,4927,6,13,15054
142,4973,9,12,15006
143,5015,9,12,14964
144,5056,8,17,14919
145,5100,6,18,14876
146,5144,9,15,14832
147,5182,7,16,14795
148,5222,8,15,14755
149,5255,7,14,14724
150,5298,15,13,14674
151,5325,13,14,14648
152,5368,11,15,14606
153,5406,12,13,14569
154,5441,12,15,14532
155,5476,14,16,14494
156,5512,16,14,14458
157,5532,11,20,14437
158,5575,11,24,14390
159,5611,12,22,14355
160,5647,11,23,14319
161,5693,16,19,14272
162,5744,15,19,14222
163,5793,15,15,14177
164,5843,13,14,14130
165,5883,11,16,14090
166,5917,10,18,14055
167,5960,16,16,14008
168,6002,17,15,13966
169,6038,17,17,13928
170,6065,17,17,13901
171,6098,19,19,13864
172,6130,18,20,13832
173,6157,15,23,13805
174,6187,17,23,13773
175,6220,15,26,13739
176,6237,17,29,13717
177,6281,16,31,13672
178,6310,15,34,13641
179,6330,18,35,13617
180,6365,16,38,13581
181,6395,19,36,13550
182,6424,23,36,13517
183,6453,21,40,13486
184,6475,23,45,13457
185,6506,19,54,13421
186,6533,14,56,13397
187,6553,25,50,13372
188,6579,29,53,13339
189,6604,33,55,13308
190,6624,41,55,13280
191,6655,40,63,13242
192,6684,37,71,13208
193,6710,40,74,13176
194,6737,40,76,13147
195,6757,47,75,13121
196,6779,50,79,13092
197,6807,50,81,13062
198,6824,56,89,13031
199,6844,54,93,13009
200,6852,60,96,12992
201,6856,69,105,12970
202,6853,68,125,12954
203,6865,69,134,12932
204,6879,74,140,12907
205,6878,84,144,12894
206,6882,70,160,12888
207,6874,91,157,12878
208,6869,93,169,12869
209,6849,106,184,12861
210,6844,114,197,12845
211,6831,108,215,12846
212,6795,126,230,12849
213,6766,131,256,12847
214,6752,137,269,12842
215,6742,140,273,12845
216,6710,158,299,12833
217,6676,155,324,12845
218,6621,197,329,12853
219,6598,180,370,12852
220,6550,208,389,12853
221,6506,207,428,12859
222,6447,227,456,12870
223,6413,239,472,12876
224,6356,251,491,12902
225,6284,284,498,12934
226,6214,280,553,12953
227,6157,268,592,12983
228,6072,293,603,13032
229,5999,311,631,13059
230,5917,331,649,13103
231,5838,344,675,13143
232,5769,344,709,13178
233,5676,374,717,13233
234,5576,370,759,13295
235,5483,405,762,13350
236,5366,421,814,13399
237,5283,392,870,13455
238,5174,420,874,13532
239,5059,427,898,13616
240,4941,430,941,13688
241,4831,432,967,13770
242,4700,456,992,13852
243,4585,448,1028,13939
244,4483,451,1039,14027
245,4381,441,1066,14112
246,4266,469,1059,14206
247,4178,452,1066,14304
248,4099,442,1062,14397
249,4025,421,1071,14483
250,3941,424,1041,14594
251,3855,425,1060,14660
252,3776,408,1091,14725
253,3678,414,1090,14818
254,3573,409,1086,14932
255,3497,415,1086,15002
256,3424,390,1082,15104
257,3375,351,1085,15189
258,3307,373,1044,15276
259,3243,365,1036,15356
260,3202,350,1017,15431
261,3157,346,994,15503
262,3126,334,972,15568
263,3101,312,935,15652
264,3057,288,925,15730
265,3020,276,933,15771
266,2983,289,876,15852
267,2947,265,891,15897
268,2928,259,873,15940
269,2927,243,860,15970
270,2905,249,807,16039
271,2891,258,780,16071
272,2894,241,755,16110
273,2872,264,705,16159
274,2866,247,714,16173
275,2866,218,710,16206
276,2873,205,694,16228
277,2869,212,663,16256
278,2886,202,647,16265
279,2910,200,632,16258
280,2930,195,622,16253
281,2969,180,593,16258
282,2982,185,561,16272
283,3017,181,561,16241
284,3034,168,567,16231
285,3056,175,538,16231
286,3097,180,517,16206
287,3112,166,508,16214
288,3169,152,513,16166
289,3210,138,485,16167
290,3243,136,460,16161
291,3278,136,454,16132
292,3303,146,440,16111
293,3344,132,447,16077
294,3377,140,437,16046
295,3410,137,441,16012
296,3437,138,427,15998
297,3459,145,426,15970
298,3476,145,421,15958
299,3528,137,432,15903
300,3581,136,412,15871
301,3621,123,407,15849
302,3662,133,395,15810
303,3660,150,384,15806
304,3684,138,392,15786
305,3745,124,387,15744
306,3785,112,380,15723
307,3804,116,378,15702
308,3824,121,373,15682
309,3866,106,384,15644
310,3890,126,371,15613
311,3917,130,358,15595
312,3958,143,344,15555
313,4003,121,362,15514
314,4041,128,349,15482
315,4093,119,339,15449
316,4141,127,313,15419
317,4172,133,302,15393
318,4219,125,315,15341
319,4257,125,306,15312
320,4313,124,309,15254
321,4350,122,321,15207
322,4387,123,323,15167
323,4423,127,313,15137
324,4450,143,323,15084
325,4473,138,326,15063
326,4512,142,331,15015
327,4558,144,334,14964
328,4586,143,347,14924
329,4624,147,340,14889
330,4631,153,340,14876
331,4663,147,347,14843
332,4705,140,362,14793
333,4725,153,360,14762
334,4746,172,366,14716
335,4772,163,383,14682
336,4805,172,384,14639
337,4840,170,389,14601
338,4863,172,404,14561
339,4863,173,432,14532
340,4872,195,438,14495
341,4871,215,438,14476
342,4879,211,460,14450
