Jour,Susceptible,Exposed,Infected,recovered
0,19970,10,20,0
1,19952,27,18,3
2,19936,33,27,4
3,19921,35,37,7
4,19901,43,46,10
5,19867,61,56,16
6,19819,87,73,21
7,19765,107,98,30
8,19691,151,111,47
9,19599,184,155,62
10,19499,217,193,91
11,19377,249,255,119
12,19218,323,302,157
13,18989,410,400,201
14,18717,520,511,252
15,18398,633,656,313
16,17999,784,807,410
17,17517,962,997,524
18,16943,1153,1227,677
19,16218,1439,1509,834
20,15339,1746,1869,1046
21,14364,2068,2277,1291
22,13258,2380,2800,1562
23,11969,2773,3308,1950
24,10678,2979,3987,2356
25,9236,3371,4520,2873
26,7912,3470,5155,3463
27,6606,3533,5708,4153
28,5399,3504,6167,4930
29,4387,3322,6546,5745
30,3467,3130,6813,6590
31,2791,2742,6959,7508
32,2254,2368,6955,8423
33,1808,2052,6787,9353
34,1436,1780,6522,10262
35,1171,1503,6216,11110
36,972,1254,5890,11884
37,857,1015,5514,12614
38,742,846,5081,13331
39,667,700,4684,13949
40,594,577,4237,14592
41,564,466,3863,15107
42,528,396,3486,15590
43,520,306,3136,16038
44,548,242,2828,16382
45,551,212,2518,16719
46,576,180,2238,17006
47,586,166,1983,17265
48,608,134,1800,17458
49,619,114,1602,17665
50,631,112,1440,17817
51,663,99,1295,17943
52,718,88,1155,18039
53,757,91,1010,18142
54,798,77,923,18202
55,838,75,814,18273
56,903,61,715,18321
57,965,63,622,18350
58,997,65,531,18407
59,1048,66,468,18418
60,1103,61,419,18417
61,1148,51,379,18422
62,1207,42,353,18398
63,1257,35,322,18386
64,1299,44,285,18372
65,1359,40,262,18339
66,1429,34,237,18300
67,1498,38,202,18262
68,1546,42,182,18230
69,1612,28,175,18185
70,1685,31,144,18140
71,1733,24,131,18112
72,1782,25,116,18077
73,1820,22,108,18050
74,1880,18,99,18003
75,1949,21,89,17941
76,2002,22,79,17897
77,2050,22,72,17856
78,2101,19,65,17815
79,2151,17,68,17764
80,2202,13,69,17716
81,2248,14,71,17667
82,2297,15,63,17625
83,2357,14,52,17577
84,2420,13,48,17519
85,2476,8,43,17473
86,2529,12,41,17418
87,2582,13,35,17370
88,2622,14,36,17328
89,2667,12,38,17283
90,2725,12,39,17224
91,2778,10,40,17172
92,2812,8,40,17140
93,2854,12,41,17093
94,2908,7,44,17041
95,2944,12,43,17001
96,2997,11,41,16951
97,3036,8,41,16915
98,3089,8,39,16864
99,3138,8,33,16821
100,3193,12,32,16763
101,3226,9,36,16729
102,3280,12,32,16676
103,3337,9,28,16626
104,3393,9,27,16571
105,3436,7,30,16527
106,3478,4,29,16489
107,3541,6,24,16429
108,3581,8,21,16390
109,3625,7,22,16346
110,3669,11,22,16298
111,3711,10,23,16256
112,3754,11,22,16213
113,3810,7,23,16160
114,3852,9,20,16119
115,3895,8,23,16074
116,3935,8,27,16030
117,3986,8,29,15977
118,4028,13,27,15932
119,4070,12,26,15892
120,4111,9,26,15854
121,4161,7,29,15803
122,4218,6,31,15745
123,4270,11,28,15691
124,4293,13,27,15667
125,4349,10,27,15614
126,4398,8,25,15569
127,4438,7,24,15531
128,4480,10,24,15486
129,4511,12,23,15454
130,4548,15,24,15413
131,4578,10,27,15385
132,4620,14,27,15339
133,4654,14,23,15309
134,4687,12,23,15278
135,4718,10,18,15254
136,4750,8,21,15221
137,4792,11,16,15181
138,4835,9,16,15140
139,4876,12,14,15098
140,4913,12,13,15062
141,4949,11,14,15026
142,4996,7,18,14979
143,5043,7,17,14933
144,5088,6,16,14890
145,5135,5,16,14844
146,5171,6,16,14807
147,5211,5,15,14769
148,5251,5,15,14729
149,5283,6,15,14696
150,5311,9,15,14665
151,5350,6,18,14626
152,5403,4,20,14573
153,5456,7,16,14521
154,5504,10,18,14468
155,5532,9,21,14438
156,5568,8,21,14403
157,5607,10,20,14363
158,5652,8,25,14315
159,5683,9,21,14287
160,5726,12,20,14242
161,5763,16,20,14201
162,5806,14,21,14159
163,5831,14,26,14129
164,5868,12,30,14090
165,5902,16,30,14052
166,5928,18,35,14019
167,5958,20,34,13988
168,6000,19,41,13940
169,6023,15,47,13915
170,6062,21,40,13877
171,6088,18,40,13854
172,6110,16,39,13835
173,6136,18,39,13807
174,6158,19,45,13778
175,6195,19,47,13739
176,6234,21,44,13701
177,6254,23,45,13678
178,6273,21,46,13660
179,6305,27,46,13622
180,6322,35,45,13598
181,6363,35,53,13549
182,6389,30,64,13517
183,6414,43,57,13486
184,6441,44,68,13447
185,6462,38,80,13420
186,6480,44,74,13402
187,6506,42,81,13371
188,6523,36,88,13353
189,6552,44,93,13311
190,6571,56,87,13286
191,6590,53,98,13259
192,6610,55,100,13235
193,6637,55,107,13201
194,6654,68,106,13172
195,6656,75,118,13151
196,6675,67,136,13122
197,6688,76,135,13101
198,6704,66,146,13084
199,6699,88,147,13066
200,6698,95,159,13048
201,6701,93,178,13028
202,6696,91,197,13016
203,6693,98,202,13007
204,6696,91,224,12989
205,6684,113,221,12982
206,6691,107,225,12977
207,6667,127,241,12965
208,6661,131,255,12953
209,6641,127,279,12953
210,6609,154,295,12942
211,6583,160,321,12936
212,6538,190,326,12946
213,6498,201,336,12965
214,6462,196,360,12982
215,6428,205,374,12993
216,6394,217,392,12997
217,6347,220,440,12993
218,6272,245,457,13026
219,6203,240,491,13066
220,6151,246,505,13098
221,6086,258,506,13150
222,6038,271,522,13169
