Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19959,21,20,0
2,19937,29,31,3
3,19916,37,43,4
4,19888,51,53,8
5,19849,76,61,14
6,19817,78,84,21
7,19751,113,104,32
8,19668,156,127,49
9,19580,185,169,66
10,19478,222,210,90
11,19333,281,271,115
12,19140,363,347,150
13,18920,443,454,183
14,18630,551,574,245
15,18267,705,718,310
16,17824,889,905,382
17,17241,1124,1142,493
18,16576,1380,1395,649
19,15827,1599,1751,823
20,14855,1968,2115,1062
21,13708,2360,2594,1338
22,12491,2679,3160,1670
23,11204,2996,3670,2130
24,9869,3246,4295,2590
25,8452,3450,4954,3144
26,7114,3531,5532,3823
27,5872,3530,6091,4507
28,4786,3399,6524,5291
29,3787,3181,6891,6141
30,3008,2883,7084,7025
31,2340,2604,7109,7947
32,1857,2257,7047,8839
33,1475,1911,6850,9764
34,1184,1592,6575,10649
35,968,1322,6194,11516
36,818,1088,5777,12317
37,709,889,5395,13007
38,640,730,4931,13699
39,595,578,4510,14317
40,560,481,4061,14898
41,542,390,3685,15383
42,533,317,3292,15858
43,527,279,2943,16251
44,534,242,2625,16599
45,561,184,2363,16892
46,583,165,2086,17166
47,608,140,1864,17388
48,616,133,1665,17586
49,647,108,1494,17751
50,684,100,1322,17894
51,726,87,1186,18001
52,762,81,1058,18099
53,803,70,943,18184
54,837,71,837,18255
55,872,67,756,18305
56,938,63,683,18316
57,980,60,601,18359
58,1031,56,526,18387
59,1084,49,478,18389
60,1147,55,428,18370
61,1205,59,380,18356
62,1253,46,341,18360
63,1324,44,301,18331
64,1391,33,271,18305
65,1435,29,241,18295
66,1502,20,227,18251
67,1558,25,187,18230
68,1616,31,171,18182
69,1670,24,160,18146
70,1721,28,143,18108
71,1779,22,135,18064
72,1831,24,124,18021
73,1883,27,113,17977
74,1946,20,105,17929
75,1993,20,98,17889
76,2054,18,82,17846
77,2101,20,76,17803
78,2160,12,70,17758
79,2209,15,62,17714
80,2272,12,58,17658
81,2337,10,50,17603
82,2389,11,42,17558
83,2444,12,39,17505
84,2500,16,34,17450
85,2561,7,38,17394
86,2614,14,36,17336
87,2669,8,38,17285
88,2727,7,34,17232
89,2767,8,32,17193
90,2812,8,29,17151
91,2883,6,29,17082
92,2936,8,24,17032
93,2984,7,25,16984
94,3034,9,25,16932
95,3095,9,23,16873
96,3157,6,23,16814
97,3194,4,28,16774
98,3253,5,27,16715
99,3302,7,23,16668
100,3343,9,24,16624
101,3386,8,25,16581
102,3440,7,25,16528
103,3486,9,24,16481
104,3526,7,25,16442
105,3573,11,20,16396
106,3632,6,24,16338
107,3681,4,26,16289
108,3715,7,25,16253
109,3760,9,22,16209
110,3808,7,24,16161
111,3845,11,21,16123
112,3895,9,21,16075
113,3950,7,20,16023
114,3999,5,22,15974
115,4047,6,20,15927
116,4096,7,18,15879
117,4151,9,18,15822
118,4189,7,19,15785
119,4225,8,18,15749
120,4264,9,19,15708
121,4301,6,21,15672
122,4346,5,20,15629
123,4369,9,20,15602
124,4414,10,21,15555
125,4457,9,19,15515
126,4485,11,18,15486
127,4531,10,22,15437
128,4575,7,24,15394
129,4608,8,25,15359
130,4632,10,28,15330
131,4677,10,31,15282
132,4698,16,24,15262
133,4733,13,28,15226
134,4771,12,28,15189
135,4815,9,27,15149
136,4855,13,23,15109
137,4886,14,21,15079
138,4923,13,27,15037
139,4968,10,24,14998
140,5015,7,27,14951
141,5055,10,22,14913
142,5079,12,20,14889
143,5135,12,22,14831
144,5173,10,25,14792
145,5213,10,26,14751
146,5251,15,21,14713
147,5285,14,21,14680
148,5325,10,21,14644
149,5366,13,21,14600
150,5408,12,21,14559
151,5438,13,21,14528
152,5470,13,21,14496
153,5506,16,22,14456
154,5538,17,24,14421
155,5572,15,24,14389
156,5605,12,25,14358
157,5633,13,26,14328
158,5665,13,28,14294
159,5701,13,26,14260
160,5729,19,26,14226
161,5763,17,26,14194
162,5810,11,30,14149
163,5839,14,30,14117
164,5876,16,32,14076
165,5915,22,37,14026
166,5938,20,42,14000
167,5964,24,41,13971
168,5993,22,45,13940
169,6020,18,48,13914
170,6043,22,46,13889
171,6090,26,47,13837
172,6122,25,48,13805
173,6155,19,47,13779
174,6177,22,47,13754
175,6210,26,45,13719
176,6243,16,57,13684
177,6269,14,55,13662
178,6297,17,57,13629
179,6328,20,53,13599
180,6345,21,55,13579
181,6367,27,55,13551
182,6392,25,58,13525
183,6421,28,62,13489
184,6452,26,67,13455
185,6478,29,68,13425
186,6506,28,67,13399
187,6533,26,68,13373
188,6560,35,69,13336
189,6575,42,70,13313
190,6611,31,81,13277
191,6627,37,82,13254
192,6661,46,78,13215
193,6675,51,85,13189
194,6691,55,95,13159
195,6707,59,98,13136
196,6722,56,107,13115
197,6738,59,116,13087
198,6741,71,125,13063
199,6758,64,144,13034
200,6777,73,138,13012
201,6790,84,139,12987
202,6800,71,160,12969
203,6804,78,166,12952
204,6798,92,169,12941
205,6791,99,175,12935
206,6784,107,187,12922
207,6779,120,187,12914
208,6777,119,199,12905
209,6781,115,218,12886
210,6784,122,223,12871
211,6786,116,239,12859
212,6791,118,248,12843
213,6783,124,273,12820
214,6756,147,277,12820
215,6721,173,289,12817
216,6682,185,303,12830
217,6634,199,320,12847
218,6609,196,352,12843
219,6588,172,388,12852
220,6527,208,393,12872
221,6477,219,415,12889
222,6413,230,446,12911
223,6361,242,472,12925
224,6313,248,491,12948
225,6255,273,503,12969
226,6192,272,541,12995
227,6124,286,561,13029
228,6052,293,589,13066
229,5978,323,599,13100
230,5886,338,627,13149
231,5812,329,665,13194
232,5724,339,704,13233
233,5624,356,720,13300
234,5520,381,737,13362
235,5419,380,777,13424
236,5318,395,810,13477
237,5227,394,848,13531
238,5153,391,854,13602
239,5015,450,857,13678
240,4921,426,918,13735
241,4840,414,950,13796
242,4750,413,958,13879
243,4654,424,985,13937
244,4534,427,1009,14030
245,4422,440,1049,14089
246,4315,442,1042,14201
247,4182,475,1058,14285
248,4088,438,1102,14372
249,4002,430,1092,14476
250,3911,426,1093,14570
251,3822,430,1081,14667
252,3730,412,1095,14763
253,3662,405,1085,14848
254,3604,364,1069,14963
255,3541,359,1066,15034
256,3455,374,1023,15148
257,3391,363,1048,15198
258,3334,368,1040,15258
259,3284,352,1023,15341
260,3226,363,995,15416
261,3162,362,1000,15476
262,3119,344,1003,15534
263,3080,329,969,15622
264,3044,313,949,15694
265,3017,306,935,15742
266,2996,308,919,15777
267,2998,276,920,15806
268,2984,272,895,15849
269,2959,268,871,15902
270,2940,257,843,15960
271,2931,237,817,16015
272,2929,233,799,16039
273,2948,209,776,16067
274,2961,209,745,16085
275,2955,206,733,16106
276,2968,197,711,16124
277,2972,188,707,16133
278,2983,181,678,16158
279,2991,187,663,16159
280,2997,198,640,16165
281,3025,170,636,16169
282,3048,175,611,16166
283,3077,161,588,16174
284,3082,177,556,16185
285,3090,180,552,16178
286,3133,166,530,16171
287,3144,188,518,16150
288,3187,166,532,16115
289,3196,184,515,16105
290,3218,158,527,16097
291,3235,175,500,16090
292,3256,170,502,16072
293,3296,169,480,16055
294,3323,176,466,16035
295,3343,169,479,16009
296,3376,152,480,15992
297,3406,144,488,15962
298,3445,140,477,15938
299,3479,145,463,15913
300,3512,146,463,15879
301,3543,145,449,15863
302,3566,152,436,15846
303,3596,154,426,15824
304,3610,153,427,15810
305,3635,148,443,15774
306,3687,133,422,15758
307,3744,131,398,15727
308,3774,118,406,15702
309,3781,141,392,15686
310,3815,133,387,15665
311,3849,145,364,15642
312,3865,144,384,15607
313,3899,129,394,15578
314,3956,135,379,15530
315,4000,131,375,15494
316,4055,146,352,15447
317,4101,132,363,15404
318,4118,163,348,15371
319,4164,159,359,15318
320,4189,148,377,15286
321,4229,144,380,15247
322,4281,137,390,15192
323,4327,138,385,15150
324,4333,147,384,15136
325,4355,159,387,15099
326,4373,160,392,15075
327,4394,155,393,15058
328,4437,142,407,15014
329,4455,162,404,14979
330,4464,165,411,14960
331,4486,174,404,14936
332,4523,167,419,14891
333,4555,158,434,14853
334,4576,149,427,14848
335,4591,179,413,14817
336,4611,167,424,14798
337,4635,168,433,14764
338,4653,169,433,14745
339,4682,164,424,14730
340,4709,161,418,14712
341,4700,186,412,14702
342,4703,192,413,14692
343,4738,181,405,14676
344,4751,189,414,14646
345,4751,183,439,14627
346,4743,221,431,14605
347,4793,203,437,14567
348,4807,199,452,14542
349,4832,189,457,14522
350,4831,201,452,14516
351,4822,218,462,14498
352,4818,223,477,14482
353,4816,244,471,14469
354,4810,248,485,14457
355,4820,224,525,14431
356,4816,230,544,14410
357,4801,243,552,14404
358,4820,237,559,14384
359,4829,239,566,14366
360,4808,261,557,14374
361,4803,264,566,14367
362,4814,254,593,14339
363,4814,269,594,14323
364,4798,278,613,14311
365,4771,290,630,14309
366,4753,275,668,14304
367,4732,281,671,14316
368,4694,291,696,14319
369,4652,310,709,14329
370,4633,317,720,14330
371,4599,314,733,14354
372,4581,317,760,14342
373,4568,305,766,14361
374,4543,310,758,14389
375,4496,312,776,14416
376,4439,327,765,14469
377,4432,312,783,14473
378,4382,321,790,14507
379,4377,325,777,14521
380,4361,318,769,14552
381,4334,320,777,14569
382,4306,323,777,14594
383,4296,304,805,14595
384,4291,317,795,14597
385,4277,305,799,14619
386,4274,281,817,14628
387,4260,288,798,14654
388,4227,312,781,14680
389,4217,305,793,14685
390,4190,322,782,14706
391,4161,324,790,14725
392,4130,323,809,14738
393,4117,325,803,14755
394,4107,326,800,14767
395,4104,300,788,14808
396,4094,314,782,14810
397,4083,312,771,14834
398,4084,301,776,14839
399,4058,315,766,14861
400,4038,300,777,14885
401,4007,317,769,14907
402,4004,302,802,14892
403,3996,303,784,14917
404,3979,306,791,14924
