Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19963,17,20,0
2,19957,12,31,0
3,19936,31,26,7
4,19920,32,40,8
5,19893,47,44,16
6,19863,51,62,24
7,19819,75,72,34
8,19785,80,91,44
9,19729,104,113,54
10,19662,128,140,70
11,19570,168,173,89
12,19456,211,223,110
13,19307,276,274,143
14,19127,338,348,187
15,18889,449,416,246
16,18597,541,553,309
17,18254,678,695,373
18,17816,863,838,483
19,17313,1036,1048,603
20,16708,1282,1279,731
21,16045,1476,1593,886
22,15182,1815,1928,1075
23,14191,2088,2380,1341
24,13078,2385,2880,1657
25,11832,2740,3385,2043
26,10532,3039,3952,2477
27,9166,3293,4545,2996
28,7889,3381,5137,3593
29,6599,3458,5708,4235
30,5479,3344,6236,4941
31,4383,3258,6634,5725
32,3486,3087,6880,6547
33,2776,2768,7000,7456
34,2169,2474,7006,8351
35,1717,2149,6898,9236
36,1386,1805,6625,10184
37,1136,1516,6291,11057
38,946,1262,5939,11853
39,808,1051,5532,12609
40,711,837,5178,13274
41,650,674,4735,13941
42,611,547,4365,14477
43,566,473,3962,14999
44,543,374,3607,15476
45,539,311,3263,15887
46,527,287,2914,16272
47,543,220,2626,16611
48,559,187,2350,16904
49,588,154,2065,17193
50,610,144,1824,17422
51,621,141,1617,17621
52,654,128,1448,17770
53,693,105,1291,17911
54,736,92,1154,18018
55,772,88,1029,18111
56,819,78,930,18173
57,865,69,835,18231
58,892,77,739,18292
59,947,71,674,18308
60,1000,64,602,18334
61,1040,59,537,18364
62,1085,58,470,18387
63,1126,48,424,18402
64,1167,52,374,18407
65,1231,43,337,18389
66,1293,41,297,18369
67,1349,40,266,18345
68,1402,42,238,18318
69,1443,36,221,18300
70,1516,34,194,18256
71,1555,36,185,18224
72,1595,33,169,18203
73,1650,24,163,18163
74,1710,20,145,18125
75,1768,20,132,18080
76,1825,24,123,18028
77,1884,24,114,17978
78,1930,26,103,17941
79,1975,20,94,17911
80,2016,27,89,17868
81,2061,26,80,17833
82,2106,25,73,17796
83,2156,21,73,17750
84,2204,16,69,17711
85,2262,12,66,17660
86,2309,14,55,17622
87,2364,12,50,17574
88,2406,13,51,17530
89,2444,17,44,17495
90,2512,15,39,17434
91,2558,12,37,17393
92,2618,15,35,17332
93,2649,16,33,17302
94,2693,17,33,17257
95,2727,7,40,17226
96,2778,8,40,17174
97,2827,6,42,17125
98,2883,8,40,17069
99,2933,8,37,17022
100,2975,8,37,16980
101,3011,11,33,16945
102,3057,14,31,16898
103,3103,15,32,16850
104,3158,15,30,16797
105,3207,11,34,16748
106,3247,15,32,16706
