Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19972,8,20,0
2,19965,10,23,2
3,19950,20,25,5
4,19929,35,27,9
5,19916,32,39,13
6,19892,40,46,22
7,19861,56,54,29
8,19820,77,69,34
9,19766,97,92,45
10,19708,123,115,54
11,19632,150,152,66
12,19546,181,183,90
13,19415,252,220,113
14,19254,313,295,138
15,19047,386,384,183
16,18776,499,495,230
17,18453,617,643,287
18,18052,743,824,381
19,17571,925,1026,478
20,16957,1201,1197,645
21,16289,1404,1494,813
22,15472,1677,1832,1019
23,14491,2024,2225,1260
24,13397,2378,2678,1547
25,12255,2626,3192,1927
26,10979,2908,3776,2337
27,9535,3259,4406,2800
28,8182,3364,5108,3346
29,6909,3404,5640,4047
30,5682,3398,6124,4796
31,4585,3279,6532,5604
32,3665,3040,6847,6448
33,2876,2828,6960,7336
34,2236,2511,7023,8230
35,1762,2114,6969,9155
36,1409,1737,6849,10005
37,1129,1510,6455,10906
38,947,1250,6072,11731
39,810,1029,5641,12520
40,701,820,5210,13269
41,642,690,4755,13913
42,595,558,4329,14518
43,572,428,3938,15062
44,570,351,3554,15525
45,564,302,3218,15916
46,551,255,2835,16359
47,566,210,2520,16704
48,568,203,2240,16989
49,598,171,2003,17228
50,609,152,1795,17444
51,613,146,1587,17654
52,649,103,1454,17794
53,688,105,1285,17922
54,716,94,1150,18040
55,752,88,1021,18139
56,793,72,932,18203
57,840,66,829,18265
58,884,69,731,18316
59,924,73,660,18343
60,985,80,581,18354
61,1031,69,517,18383
62,1085,56,481,18378
63,1133,56,427,18384
64,1183,54,388,18375
65,1227,41,346,18386
66,1297,42,304,18357
67,1337,39,263,18361
68,1384,37,247,18332
69,1439,30,216,18315
70,1502,25,202,18271
71,1567,24,183,18226
72,1613,32,170,18185
73,1665,33,152,18150
74,1728,27,142,18103
75,1784,22,130,18064
76,1816,24,119,18041
77,1888,28,109,17975
78,1938,31,99,17932
79,1989,25,95,17891
80,2052,20,86,17842
81,2106,15,82,17797
82,2159,16,71,17754
83,2214,16,65,17705
84,2274,12,59,17655
85,2326,8,57,17609
86,2379,4,53,17564
87,2436,8,47,17509
88,2484,9,45,17462
89,2544,8,45,17403
90,2590,9,40,17361
91,2642,9,40,17309
92,2700,10,38,17252
93,2754,11,33,17202
94,2801,10,33,17156
95,2846,7,32,17115
96,2908,8,31,17053
97,2960,7,32,17001
98,3004,8,32,16956
99,3059,6,36,16899
100,3099,9,32,16860
101,3148,8,35,16809
102,3207,8,32,16753
103,3250,8,26,16716
104,3299,9,25,16667
105,3349,8,26,16617
106,3402,7,25,16566
107,3453,9,21,16517
108,3497,8,23,16472
109,3554,4,27,16415
110,3599,6,22,16373
111,3654,5,22,16319
112,3714,6,19,16261
113,3760,4,21,16215
114,3818,4,19,16159
115,3858,4,22,16116
116,3906,7,21,16066
117,3957,6,21,16016
118,4003,5,22,15970
119,4052,5,22,15921
120,4097,8,20,15875
121,4138,6,23,15833
122,4179,11,21,15789
123,4229,9,23,15739
124,4278,7,26,15689
125,4307,9,21,15663
126,4356,9,22,15613
127,4403,10,20,15567
128,4450,13,19,15518
129,4492,11,21,15476
130,4540,8,23,15429
131,4583,6,21,15390
132,4615,11,22,15352
133,4657,7,20,15316
134,4699,9,20,15272
135,4736,6,22,15236
136,4782,11,20,15187
137,4821,13,16,15150
138,4851,12,18,15119
139,4888,9,21,15082
140,4930,8,22,15040
141,4972,6,24,14998
142,5022,8,22,14948
143,5064,4,25,14907
144,5097,4,25,14874
145,5138,5,24,14833
146,5169,10,22,14799
147,5198,12,20,14770
148,5231,12,22,14735
149,5265,14,21,14700
150,5304,13,26,14657
151,5341,13,26,14620
152,5374,11,28,14587
153,5411,15,25,14549
154,5454,13,25,14508
155,5492,12,28,14468
156,5528,10,32,14430
157,5571,12,30,14387
158,5610,8,33,14349
159,5636,12,30,14322
160,5672,17,31,14280
161,5700,15,37,14248
162,5732,17,42,14209
163,5755,22,39,14184
164,5782,23,43,14152
165,5800,30,45,14125
166,5825,30,46,14099
167,5867,28,44,14061
168,5894,28,49,14029
169,5930,26,49,13995
170,5952,21,53,13974
171,5965,24,55,13956
172,5991,26,54,13929
173,6027,28,54,13891
174,6067,26,63,13844
175,6091,22,70,13817
176,6115,25,67,13793
177,6135,34,64,13767
178,6148,43,68,13741
179,6176,47,74,13703
180,6215,44,80,13661
181,6239,48,91,13622
182,6262,51,100,13587
183,6300,49,106,13545
184,6320,56,110,13514
185,6333,54,115,13498
186,6351,59,114,13476
187,6365,58,121,13456
188,6373,63,124,13440
189,6393,62,137,13408
190,6396,78,139,13387
191,6407,71,158,13364
192,6431,81,156,13332
193,6443,82,172,13303
194,6437,87,184,13292
195,6443,87,195,13275
196,6444,96,199,13261
197,6445,105,205,13245
198,6438,126,204,13232
199,6426,123,223,13228
