Jour,Susceptible,Exposed,Infected,recovered
0,19963,17,20,0
1,19953,17,27,3
2,19937,27,28,8
3,19923,33,35,9
4,19895,46,41,18
5,19865,54,62,19
6,19832,66,79,23
7,19768,104,90,38
8,19706,124,120,50
9,19629,156,160,55
10,19525,192,205,78
11,19381,256,259,104
12,19190,348,329,133
13,18986,409,425,180
14,18695,546,525,234
15,18377,654,670,299
16,17928,834,845,393
17,17433,1017,1041,509
18,16800,1265,1277,658
19,16058,1523,1598,821
20,15190,1815,1952,1043
21,14263,2044,2386,1307
22,13129,2410,2824,1637
23,11920,2701,3406,1973
24,10573,3020,3949,2458
25,9232,3289,4504,2975
26,7945,3395,5045,3615
27,6614,3503,5555,4328
28,5394,3433,6096,5077
29,4323,3321,6485,5871
30,3497,2999,6780,6724
31,2787,2706,6911,7596
32,2199,2347,6908,8546
33,1735,2052,6747,9466
34,1415,1722,6524,10339
35,1189,1431,6188,11192
36,1001,1201,5796,12002
37,864,1002,5425,12709
38,762,841,5037,13360
39,690,684,4649,13977
40,652,546,4253,14549
41,607,468,3810,15115
42,583,405,3435,15577
43,583,327,3121,15969
44,567,292,2806,16335
45,576,225,2537,16662
46,587,175,2262,16976
47,617,137,2041,17205
48,649,130,1779,17442
49,666,120,1562,17652
50,703,107,1395,17795
51,743,98,1248,17911
52,776,81,1136,18007
53,811,77,996,18116
54,844,76,907,18173
55,887,71,809,18233
56,915,80,696,18309
57,952,75,636,18337
58,979,71,582,18368
59,1043,64,521,18372
60,1096,53,465,18386
61,1134,54,427,18385
62,1177,50,386,18387
63,1243,40,362,18355
64,1292,44,328,18336
65,1340,45,295,18320
66,1401,39,263,18297
67,1451,39,236,18274
68,1505,37,214,18244
69,1572,32,190,18206
70,1612,29,184,18175
71,1670,32,170,18128
72,1711,26,163,18100
73,1765,31,148,18056
74,1818,28,137,18017
75,1872,28,131,17969
76,1920,24,118,17938
77,1974,19,116,17891
78,2027,19,107,17847
79,2088,17,98,17797
80,2142,17,89,17752
81,2212,16,81,17691
82,2268,14,72,17646
83,2316,22,66,17596
84,2363,24,58,17555
85,2418,20,62,17500
86,2482,18,54,17446
87,2528,14,53,17405
88,2580,18,49,17353
89,2627,17,46,17310
90,2685,11,44,17260
91,2747,11,39,17203
92,2786,10,36,17168
93,2849,4,37,17110
94,2901,2,35,17062
95,2957,5,32,17006
96,3010,2,31,16957
97,3061,8,25,16906
98,3120,4,28,16848
99,3170,5,25,16800
100,3212,6,20,16762
101,3269,6,18,16707
102,3323,4,20,16653
103,3372,5,18,16605
104,3414,4,17,16565
105,3455,5,15,16525
106,3496,8,11,16485
107,3555,6,11,16428
108,3592,6,10,16392
109,3642,3,11,16344
110,3690,7,9,16294
111,3748,4,12,16236
