Jour,Susceptible,Exposed,Infected,recovered
0,19980,0,20,0
1,19963,17,20,0
2,19955,16,25,4
3,19934,32,28,6
4,19918,37,37,8
5,19886,54,48,12
6,19845,77,58,20
7,19801,94,76,29
8,19742,110,108,40
9,19672,136,140,52
10,19565,184,183,68
11,19458,216,234,92
12,19288,306,284,122
13,19074,402,367,157
14,18813,506,481,200
15,18488,641,605,266
16,18136,735,791,338
17,17690,908,966,436
18,17111,1164,1174,551
19,16389,1432,1477,702
20,15602,1675,1799,924
21,14588,2049,2192,1171
22,13534,2328,2644,1494
23,12340,2632,3162,1866
24,11050,2919,3768,2263
25,9663,3182,4386,2769
26,8280,3398,4947,3375
27,6974,3410,5589,4027
28,5777,3427,6038,4758
29,4679,3400,6316,5605
30,3786,3114,6750,6350
31,3031,2878,6875,7216
32,2421,2488,6997,8094
33,1905,2211,6900,8984
34,1504,1891,6788,9817
35,1226,1605,6427,10742
36,1022,1326,6103,11549
37,859,1093,5705,12343
38,740,935,5241,13084
39,654,768,4849,13729
40,598,627,4434,14341
41,544,533,4019,14904
42,522,430,3652,15396
43,525,349,3288,15838
44,514,320,2895,16271
45,527,260,2611,16602
46,531,212,2369,16888
47,548,188,2112,17152
48,579,147,1925,17349
49,617,132,1717,17534
50,668,105,1525,17702
51,702,116,1322,17860
52,728,87,1210,17975
53,780,77,1055,18088
54,810,71,919,18200
55,857,59,823,18261
56,894,58,738,18310
57,949,51,676,18324
58,992,60,585,18363
59,1032,58,517,18393
60,1086,63,461,18390
61,1134,60,402,18404
62,1193,42,351,18414
63,1244,39,314,18403
64,1296,40,296,18368
65,1351,41,268,18340
66,1400,38,247,18315
67,1459,35,222,18284
68,1512,33,203,18252
69,1575,24,181,18220
70,1633,26,162,18179
71,1690,23,151,18136
72,1748,22,131,18099
73,1807,23,120,18050
74,1861,17,109,18013
75,1911,21,92,17976
76,1964,26,85,17925
77,1999,32,81,17888
78,2053,20,82,17845
79,2109,22,78,17791
80,2161,18,71,17750
81,2205,22,69,17704
82,2259,19,67,17655
83,2316,18,61,17605
84,2368,16,62,17554
85,2414,14,65,17507
86,2466,15,55,17464
87,2525,11,56,17408
88,2575,14,52,17359
89,2617,21,49,17313
90,2670,14,49,17267
91,2729,12,45,17214
92,2768,15,41,17176
93,2809,19,36,17136
94,2863,17,36,17084
95,2922,17,33,17028
96,2971,13,34,16982
97,3020,8,34,16938
98,3072,8,34,16886
99,3127,6,33,16834
100,3170,8,29,16793
101,3226,6,28,16740
102,3278,8,27,16687
103,3320,9,27,16644
104,3366,9,29,16596
105,3427,11,26,16536
106,3479,12,25,16484
