Jour,Susceptible,Exposed,Infected,recovered
0,19963,17,20,0
1,19948,25,24,3
2,19934,31,28,7
3,19911,43,34,12
4,19888,48,44,20
5,19853,61,62,24
6,19815,74,80,31
7,19760,101,94,45
8,19707,120,109,64
9,19622,162,134,82
10,19533,191,173,103
11,19405,253,216,126
12,19269,300,275,156
13,19105,366,334,195
14,18885,441,436,238
15,18595,556,553,296
16,18260,667,708,365
17,17838,847,830,485
18,17354,999,1035,612
19,16727,1276,1261,736
20,16028,1501,1568,903
21,15146,1820,1926,1108
22,14179,2113,2332,1376
23,13078,2423,2844,1655
24,11864,2762,3373,2001
25,10568,3036,3934,2462
26,9148,3342,4521,2989
27,7810,3446,5156,3588
28,6546,3460,5718,4276
29,5328,3419,6239,5014
30,4306,3215,6721,5758
31,3398,2991,7012,6599
32,2701,2655,7163,7481
33,2134,2344,7077,8445
34,1703,2022,6938,9337
35,1376,1707,6692,10225
36,1131,1433,6385,11051
37,933,1184,6012,11871
38,778,962,5616,12644
39,693,766,5213,13328
40,634,616,4738,14012
41,575,506,4318,14601
42,559,423,3896,15122
43,531,359,3499,15611
44,529,300,3143,16028
45,526,260,2836,16378
46,556,213,2504,16727
47,567,180,2220,17033
48,593,156,1961,17290
49,636,136,1768,17460
50,650,135,1574,17641
51,664,113,1404,17819
52,697,110,1247,17946
53,738,95,1121,18046
54,780,81,982,18157
55,849,68,850,18233
56,887,77,751,18285
57,932,67,685,18316
58,977,65,616,18342
59,1024,60,552,18364
60,1063,52,503,18382
61,1102,59,451,18388
62,1157,52,397,18394
63,1191,58,359,18392
64,1242,48,324,18386
65,1310,34,300,18356
66,1359,30,274,18337
67,1417,39,238,18306
68,1468,37,216,18279
69,1539,34,188,18239
70,1610,29,172,18189
71,1667,25,161,18147
72,1716,24,148,18112
73,1789,30,131,18050
74,1859,27,117,17997
75,1919,21,109,17951
76,1975,19,98,17908
77,2039,14,93,17854
78,2091,12,82,17815
79,2154,8,78,17760
80,2196,9,73,17722
81,2239,16,67,17678
82,2294,10,70,17626
83,2369,11,60,17560
84,2432,15,51,17502
85,2474,13,49,17464
86,2538,13,45,17404
87,2593,10,44,17353
88,2645,10,42,17303
89,2684,8,38,17270
90,2734,10,31,17225
91,2784,10,26,17180
92,2829,12,26,17133
93,2888,9,29,17074
94,2932,10,32,17026
95,2980,10,31,16979
96,3030,11,29,16930
97,3086,8,33,16873
98,3142,12,33,16813
99,3198,12,31,16759
100,3240,13,29,16718
101,3298,14,33,16655
102,3343,10,38,16609
103,3393,12,35,16560
104,3435,13,28,16524
105,3476,10,27,16487
106,3525,7,28,16440
107,3579,3,29,16389
108,3618,6,27,16349
109,3667,8,28,16297
110,3701,8,27,16264
111,3756,6,30,16208
112,3805,11,24,16160
113,3846,10,25,16119
114,3892,7,27,16074
115,3937,7,26,16030
116,3974,9,27,15990
117,4020,3,32,15945
118,4068,5,29,15898
119,4109,10,29,15852
120,4168,11,25,15796
121,4213,9,27,15751
122,4260,8,28,15704
123,4284,13,27,15676
124,4335,12,26,15627
125,4377,11,26,15586
126,4416,12,25,15547
127,4459,12,27,15502
128,4500,13,28,15459
129,4539,11,30,15420
130,4577,13,28,15382
131,4621,12,31,15336
132,4662,12,28,15298
133,4687,16,27,15270
134,4730,13,32,15225
135,4766,10,29,15195
136,4811,10,30,15149
137,4847,11,28,15114
138,4888,12,28,15072
139,4930,13,25,15032
140,4963,18,26,14993
141,5001,15,27,14957
142,5030,19,27,14924
143,5068,17,33,14882
144,5098,16,41,14845
145,5132,18,38,14812
146,5170,18,43,14769
147,5203,21,42,14734
148,5247,21,34,14698
149,5272,24,33,14671
150,5301,23,34,14642
151,5350,23,36,14591
152,5378,27,40,14555
153,5407,37,36,14520
154,5435,27,44,14494
155,5465,18,50,14467
156,5507,30,49,14414
157,5536,29,51,14384
158,5560,48,50,14342
159,5596,25,68,14311
160,5613,33,65,14289
161,5648,40,62,14250
162,5676,44,66,14214
163,5691,47,68,14194
164,5705,44,80,14171
165,5733,39,93,14135
166,5754,49,92,14105
167,5775,50,102,14073
168,5789,47,114,14050
169,5808,47,115,14030
170,5824,52,117,14007
171,5836,56,118,13990
172,5840,66,121,13973
173,5851,75,120,13954
174,5864,78,131,13927
175,5880,90,136,13894
176,5899,80,144,13877
177,5905,89,152,13854
178,5895,97,171,13837
179,5894,93,188,13825
180,5892,107,181,13820
181,5887,115,195,13803
182,5869,128,205,13798
183,5877,104,238,13781
184,5866,116,249,13769
185,5850,134,259,13757
186,5854,124,274,13748
187,5842,134,283,13741
188,5826,138,301,13735
189,5813,144,308,13735
190,5796,151,305,13748
191,5788,141,334,13737
192,5763,142,350,13745
193,5731,175,355,13739
194,5694,168,389,13749
195,5670,166,403,13761
196,5616,221,405,13758
197,5583,199,446,13772
198,5520,225,460,13795
199,5474,237,463,13826
200,5430,237,495,13838
201,5391,233,526,13850
202,5367,236,529,13868
203,5303,257,553,13887
204,5277,256,563,13904
205,5222,249,601,13928
206,5147,268,635,13950
207,5070,298,624,14008
208,5001,309,645,14045
209,4948,314,671,14067
210,4874,327,706,14093
211,4819,310,731,14140
212,4748,316,745,14191
213,4665,312,777,14246
214,4602,317,779,14302
215,4519,340,783,14358
216,4448,355,792,14405
217,4367,383,773,14477
218,4313,347,808,14532
219,4273,341,803,14583
220,4204,355,813,14628
221,4157,350,826,14667
222,4118,316,844,14722
223,4039,331,838,14792
224,3989,326,829,14856
225,3947,319,828,14906
226,3932,308,800,14960
227,3898,284,803,15015
228,3873,275,804,15048
229,3832,266,813,15089
230,3803,270,797,15130
231,3757,269,764,15210
232,3731,263,754,15252
233,3696,277,739,15288
234,3668,278,735,15319
235,3639,274,740,15347
236,3636,263,752,15349
237,3612,261,756,15371
238,3615,243,758,15384
239,3583,249,750,15418
240,3553,261,741,15445
241,3546,248,724,15482
242,3516,237,728,15519
243,3491,257,698,15554
244,3490,248,674,15588
245,3467,243,684,15606
246,3465,237,688,15610
247,3439,248,681,15632
248,3447,224,690,15639
249,3450,232,671,15647
250,3449,230,678,15643
251,3453,209,677,15661
252,3454,201,656,15689
253,3471,190,648,15691
254,3463,217,613,15707
255,3457,217,591,15735
256,3465,206,596,15733
257,3491,191,583,15735
258,3511,192,580,15717
259,3543,162,573,15722
260,3556,198,539,15707
261,3590,196,515,15699
262,3599,184,505,15712
263,3609,186,494,15711
264,3645,172,491,15692
265,3667,175,481,15677
266,3691,172,487,15650
267,3713,180,466,15641
